frames since last update;coins collected;deaths;levels beaten;score gathered;coins per frame;deaths per frame;levels beaten per frame;move count (no action, left, right, jump);!world name
1000;8;10;0;0;0.008;0.01;0.0;[192, 199, 399, 210];levels/training_553.txt
1000;1;32;0;0;0.001;0.032;0.0;[195, 205, 405, 195];levels/training_365.txt
670;4;5;1;105;0.005970149253731343;0.007462686567164179;0.0014925373134328358;[111, 158, 266, 135];levels/training_238.txt
330;4;4;0;0;0.012121212121212121;0.012121212121212121;0.0;[81, 61, 132, 56];levels/training_613.txt
1000;4;32;0;0;0.004;0.032;0.0;[205, 202, 403, 190];levels/training_37.txt
1000;3;17;0;0;0.003;0.017;0.0;[194, 185, 407, 214];levels/training_53.txt
1000;0;19;0;0;0.0;0.019;0.0;[219, 175, 413, 193];levels/training_673.txt
1000;3;35;0;0;0.003;0.035;0.0;[200, 186, 420, 194];levels/training_875.txt
272;6;1;1;120;0.022058823529411766;0.003676470588235294;0.003676470588235294;[62, 50, 107, 53];levels/training_95.txt
728;6;8;0;0;0.008241758241758242;0.01098901098901099;0.0;[154, 133, 301, 140];levels/training_83.txt
1000;6;15;0;0;0.006;0.015;0.0;[183, 197, 421, 199];levels/training_1_199.txt
1000;3;12;0;0;0.003;0.012;0.0;[178, 198, 414, 210];levels/training_831.txt
1000;3;34;0;0;0.003;0.034;0.0;[178, 212, 397, 213];levels/training_948.txt
1000;6;35;0;0;0.006;0.035;0.0;[195, 182, 435, 188];levels/training_115.txt
1000;2;17;0;0;0.002;0.017;0.0;[193, 176, 431, 200];levels/training_989.txt
1000;3;28;0;0;0.003;0.028;0.0;[206, 192, 413, 189];levels/training_515.txt
1000;6;23;0;0;0.006;0.023;0.0;[205, 199, 397, 199];levels/training_1_73.txt
1000;3;28;0;0;0.003;0.028;0.0;[169, 192, 430, 209];levels/training_180.txt
1000;2;35;0;0;0.002;0.035;0.0;[195, 175, 440, 190];levels/training_77.txt
1000;6;6;0;0;0.006;0.006;0.0;[181, 203, 408, 208];levels/training_542.txt
1000;6;24;0;0;0.006;0.024;0.0;[199, 175, 425, 201];levels/training_636.txt
1000;7;16;0;0;0.007;0.016;0.0;[218, 160, 417, 205];levels/training_547.txt
1000;6;32;0;0;0.006;0.032;0.0;[177, 185, 445, 193];levels/training_479.txt
197;2;3;1;110;0.01015228426395939;0.015228426395939087;0.005076142131979695;[39, 35, 98, 25];levels/training_276.txt
803;2;6;0;0;0.0024906600249066002;0.007471980074719801;0.0;[153, 168, 341, 141];levels/training_805.txt
222;8;0;1;140;0.036036036036036036;0.0;0.0045045045045045045;[45, 44, 93, 40];levels/training_279.txt
778;14;17;0;0;0.017994858611825194;0.021850899742930592;0.0;[150, 126, 363, 139];levels/training_189.txt
1000;1;48;0;0;0.001;0.048;0.0;[183, 196, 437, 184];levels/training_12.txt
1000;2;78;0;0;0.002;0.078;0.0;[169, 211, 431, 189];levels/training_221.txt
1000;4;14;0;0;0.004;0.014;0.0;[200, 189, 422, 189];levels/training_255.txt
1000;3;13;0;0;0.003;0.013;0.0;[179, 192, 429, 200];levels/training_486.txt
1000;6;21;0;0;0.006;0.021;0.0;[210, 177, 442, 171];levels/training_534.txt
1000;4;59;0;0;0.004;0.059;0.0;[190, 200, 409, 201];levels/training_1_137.txt
1000;6;22;0;0;0.006;0.022;0.0;[185, 194, 439, 182];levels/training_256.txt
1000;8;42;0;0;0.008;0.042;0.0;[201, 188, 437, 174];levels/training_1_74.txt
1000;4;10;0;0;0.004;0.01;0.0;[173, 183, 456, 188];levels/training_812.txt
1000;6;21;0;0;0.006;0.021;0.0;[180, 189, 435, 196];levels/training_470.txt
1000;7;27;0;0;0.007;0.027;0.0;[194, 185, 448, 173];levels/training_202.txt
436;2;3;1;105;0.0045871559633027525;0.006880733944954129;0.0022935779816513763;[83, 87, 198, 68];levels/training_713.txt
564;1;10;0;0;0.0017730496453900709;0.01773049645390071;0.0;[112, 101, 249, 102];levels/training_185.txt
1000;5;6;0;0;0.005;0.006;0.0;[195, 179, 435, 191];levels/training_495.txt
1000;5;13;0;0;0.005;0.013;0.0;[176, 186, 472, 166];levels/training_890.txt
1000;3;26;0;0;0.003;0.026;0.0;[204, 188, 433, 175];levels/training_500.txt
1000;4;18;0;0;0.004;0.018;0.0;[189, 177, 452, 182];levels/training_1_167.txt
682;3;11;1;115;0.004398826979472141;0.016129032258064516;0.001466275659824047;[135, 128, 311, 108];levels/training_941.txt
318;1;17;0;0;0.0031446540880503146;0.05345911949685535;0.0;[55, 49, 162, 52];levels/training_824.txt
101;1;0;1;105;0.009900990099009901;0.0;0.009900990099009901;[11, 13, 52, 25];levels/training_362.txt
899;6;9;0;0;0.006674082313681869;0.010011123470522803;0.0;[190, 160, 391, 158];levels/training_869.txt
291;3;6;1;105;0.010309278350515464;0.020618556701030927;0.003436426116838488;[53, 48, 134, 56];levels/training_549.txt
174;5;0;1;125;0.028735632183908046;0.0;0.005747126436781609;[25, 28, 86, 35];levels/training_539.txt
535;5;6;0;0;0.009345794392523364;0.011214953271028037;0.0;[79, 105, 247, 104];levels/training_72.txt
