frames since last update;coins collected;deaths;levels beaten;score gathered;coins per frame;deaths per frame;levels beaten per frame;move count (no action, left, right, jump);!world name
1000;5;23;0;0;0.005;0.023;0.0;[192, 199, 399, 210];levels/training_579.txt
1000;3;25;0;0;0.003;0.025;0.0;[195, 205, 405, 195];levels/training_752.txt
1000;3;44;0;0;0.003;0.044;0.0;[192, 219, 398, 191];levels/training_948.txt
1000;4;62;0;0;0.004;0.062;0.0;[205, 202, 403, 190];levels/training_670.txt
1000;2;28;0;0;0.002;0.028;0.0;[194, 185, 407, 214];levels/training_930.txt
1000;2;38;0;0;0.002;0.038;0.0;[219, 175, 413, 193];levels/training_667.txt
1000;5;26;0;0;0.005;0.026;0.0;[200, 186, 420, 194];levels/training_881.txt
1000;6;13;0;0;0.006;0.013;0.0;[216, 183, 409, 192];levels/training_246.txt
1000;8;29;0;0;0.008;0.029;0.0;[183, 197, 421, 199];levels/training_648.txt
168;6;1;1;125;0.03571428571428571;0.005952380952380952;0.005952380952380952;[29, 33, 73, 33];levels/training_510.txt
832;6;9;0;0;0.007211538461538462;0.010817307692307692;0.0;[149, 165, 341, 177];levels/training_1_125.txt
1000;6;37;0;0;0.006;0.037;0.0;[178, 212, 397, 213];levels/training_211.txt
1000;4;35;0;0;0.004;0.035;0.0;[195, 182, 435, 188];levels/training_970.txt
1000;0;41;0;0;0.0;0.041;0.0;[193, 176, 431, 200];levels/training_146.txt
1000;7;45;0;0;0.007;0.045;0.0;[206, 192, 413, 189];levels/training_897.txt
594;10;3;1;145;0.016835016835016835;0.005050505050505051;0.0016835016835016834;[130, 118, 222, 124];levels/training_1_34.txt
406;4;5;0;0;0.009852216748768473;0.012315270935960592;0.0;[75, 81, 175, 75];levels/training_387.txt
1000;5;22;0;0;0.005;0.022;0.0;[169, 192, 430, 209];levels/training_484.txt
1000;4;19;0;0;0.004;0.019;0.0;[195, 175, 440, 190];levels/training_499.txt
1000;6;13;0;0;0.006;0.013;0.0;[181, 203, 408, 208];levels/training_355.txt
1000;13;7;0;0;0.013;0.007;0.0;[199, 175, 425, 201];levels/training_41.txt
1000;5;9;0;0;0.005;0.009;0.0;[218, 160, 417, 205];levels/training_812.txt
1000;5;26;0;5;0.005;0.026;0.0;[177, 185, 445, 193];levels/training_1_182.txt
1000;5;9;0;0;0.005;0.009;0.0;[192, 203, 439, 166];levels/training_796.txt
1000;5;7;0;0;0.005;0.007;0.0;[195, 170, 456, 179];levels/training_674.txt
183;4;0;1;120;0.02185792349726776;0.0;0.00546448087431694;[32, 36, 79, 36];levels/training_582.txt
817;4;13;0;0;0.004895960832313341;0.01591187270501836;0.0;[151, 160, 358, 148];levels/training_1_142.txt
1000;6;55;0;0;0.006;0.055;0.0;[169, 211, 431, 189];levels/training_888.txt
1000;3;47;0;0;0.003;0.047;0.0;[200, 189, 422, 189];levels/training_353.txt
1000;4;9;0;0;0.004;0.009;0.0;[179, 192, 429, 200];levels/training_438.txt
1000;3;13;0;0;0.003;0.013;0.0;[210, 177, 442, 171];levels/training_406.txt
1000;6;18;0;0;0.006;0.018;0.0;[190, 200, 409, 201];levels/training_1_49.txt
1000;10;16;0;0;0.01;0.016;0.0;[185, 194, 439, 182];levels/training_260.txt
1000;2;12;0;0;0.002;0.012;0.0;[201, 188, 437, 174];levels/training_862.txt
1000;5;48;0;0;0.005;0.048;0.0;[173, 183, 456, 188];levels/training_906.txt
1000;10;4;0;10;0.01;0.004;0.0;[180, 189, 435, 196];levels/training_429.txt
1000;14;17;0;0;0.014;0.017;0.0;[194, 185, 448, 173];levels/training_983.txt
1000;1;33;0;0;0.001;0.033;0.0;[195, 188, 447, 170];levels/training_266.txt
1000;2;27;0;0;0.002;0.027;0.0;[195, 179, 435, 191];levels/training_595.txt
1000;11;20;0;0;0.011;0.02;0.0;[176, 186, 472, 166];levels/training_363.txt
581;15;2;1;155;0.025817555938037865;0.0034423407917383822;0.0017211703958691911;[114, 109, 259, 99];levels/training_214.txt
419;0;8;0;0;0.0;0.01909307875894988;0.0;[90, 79, 174, 76];levels/training_97.txt
1000;7;19;0;0;0.007;0.019;0.0;[189, 177, 452, 182];levels/training_1_199.txt
1000;1;69;0;0;0.001;0.069;0.0;[190, 177, 473, 160];levels/training_914.txt
1000;4;62;0;0;0.004;0.062;0.0;[201, 173, 443, 183];levels/training_259.txt
1000;3;25;0;0;0.003;0.025;0.0;[157, 181, 467, 195];levels/training_227.txt
1000;4;15;0;0;0.004;0.015;0.0;[182, 187, 452, 179];levels/training_851.txt
1000;2;99;0;0;0.002;0.099;0.0;[185, 176, 460, 179];levels/training_221.txt
1000;3;42;0;0;0.003;0.042;0.0;[175, 182, 480, 163];levels/training_877.txt
1000;4;45;0;0;0.004;0.045;0.0;[188, 174, 457, 181];levels/training_948.txt
1000;10;26;0;0;0.01;0.026;0.0;[164, 186, 461, 189];levels/training_364.txt
1000;6;8;0;0;0.006;0.008;0.0;[184, 186, 435, 195];levels/training_1_15.txt
1000;10;9;0;0;0.01;0.009;0.0;[184, 184, 461, 171];levels/training_270.txt
1000;10;10;0;0;0.01;0.01;0.0;[187, 191, 464, 158];levels/training_159.txt
1000;2;14;0;0;0.002;0.014;0.0;[184, 165, 472, 179];levels/training_860.txt
267;8;4;1;130;0.0299625468164794;0.0149812734082397;0.003745318352059925;[44, 37, 140, 46];levels/training_304.txt
733;6;13;0;0;0.008185538881309686;0.017735334242837655;0.0;[120, 136, 333, 144];levels/training_49.txt
1000;8;30;0;0;0.008;0.03;0.0;[191, 176, 469, 164];levels/training_1_113.txt
1000;5;40;0;0;0.005;0.04;0.0;[189, 155, 477, 179];levels/training_716.txt
1000;10;25;0;0;0.01;0.025;0.0;[178, 172, 470, 180];levels/training_98.txt
1000;6;22;0;0;0.006;0.022;0.0;[182, 172, 475, 171];levels/training_162.txt
1000;5;13;0;0;0.005;0.013;0.0;[189, 161, 472, 178];levels/training_1_14.txt
183;6;0;1;130;0.03278688524590164;0.0;0.00546448087431694;[20, 36, 83, 44];levels/training_844.txt
817;4;6;0;0;0.004895960832313341;0.0073439412484700125;0.0;[154, 141, 379, 143];levels/training_935.txt
906;3;18;1;105;0.0033112582781456954;0.019867549668874173;0.0011037527593818985;[164, 175, 394, 173];levels/training_524.txt
94;5;0;0;25;0.05319148936170213;0.0;0.0;[16, 15, 40, 23];levels/training_125.txt
262;5;3;1;105;0.019083969465648856;0.011450381679389313;0.003816793893129771;[48, 38, 133, 43];levels/training_806.txt
738;5;19;0;0;0.006775067750677507;0.025745257452574527;0.0;[124, 137, 355, 122];levels/training_240.txt
1000;12;9;0;5;0.012;0.009;0.0;[193, 158, 480, 169];levels/training_537.txt
1000;4;16;0;0;0.004;0.016;0.0;[192, 192, 452, 164];levels/training_1_4.txt
1000;8;15;0;0;0.008;0.015;0.0;[193, 145, 493, 169];levels/training_1_92.txt
690;5;5;1;100;0.007246376811594203;0.007246376811594203;0.0014492753623188406;[110, 101, 353, 126];levels/training_13.txt
310;2;4;0;0;0.0064516129032258064;0.012903225806451613;0.0;[54, 63, 152, 41];levels/training_1_68.txt
1000;9;15;0;0;0.009;0.015;0.0;[184, 161, 487, 168];levels/training_1_156.txt
1000;8;10;0;0;0.008;0.01;0.0;[163, 178, 497, 162];levels/training_720.txt
1000;4;40;0;0;0.004;0.04;0.0;[167, 163, 498, 172];levels/training_1_150.txt
1000;6;29;0;0;0.006;0.029;0.0;[165, 144, 530, 161];levels/training_249.txt
1000;5;52;0;0;0.005;0.052;0.0;[175, 150, 495, 180];levels/training_101.txt
1000;6;15;0;0;0.006;0.015;0.0;[178, 159, 495, 168];levels/training_458.txt
1000;5;35;0;0;0.005;0.035;0.0;[150, 178, 480, 192];levels/training_1_191.txt
1000;10;13;0;0;0.01;0.013;0.0;[173, 170, 468, 189];levels/training_1_87.txt
239;4;2;1;115;0.016736401673640166;0.008368200836820083;0.0041841004184100415;[36, 38, 128, 37];levels/training_351.txt
761;7;23;0;0;0.009198423127463863;0.030223390275952694;0.0;[121, 120, 387, 133];levels/training_730.txt
1000;7;31;0;0;0.007;0.031;0.0;[162, 168, 499, 171];levels/training_131.txt
1000;5;21;0;0;0.005;0.021;0.0;[170, 176, 478, 176];levels/training_894.txt
328;8;4;1;125;0.024390243902439025;0.012195121951219513;0.003048780487804878;[41, 52, 169, 66];levels/training_416.txt
672;4;9;0;0;0.005952380952380952;0.013392857142857142;0.0;[105, 132, 326, 109];levels/training_987.txt
347;5;3;1;125;0.01440922190201729;0.008645533141210375;0.002881844380403458;[56, 61, 184, 46];levels/training_273.txt
653;9;9;0;0;0.013782542113323124;0.013782542113323124;0.0;[123, 102, 329, 99];levels/training_169.txt
1000;4;20;0;0;0.004;0.02;0.0;[165, 162, 496, 177];levels/training_1_41.txt
768;7;20;1;115;0.009114583333333334;0.026041666666666668;0.0013020833333333333;[141, 126, 379, 122];levels/training_333.txt
232;2;4;0;0;0.008620689655172414;0.017241379310344827;0.0;[37, 39, 117, 39];levels/training_391.txt
584;4;7;1;105;0.00684931506849315;0.011986301369863013;0.0017123287671232876;[104, 87, 297, 96];levels/training_860.txt
416;7;3;0;5;0.016826923076923076;0.007211538461538462;0.0;[69, 63, 202, 82];levels/training_429.txt
