frames since last update;coins collected;deaths;levels beaten;score gathered;coins per frame;deaths per frame;levels beaten per frame;move count (no action, left, right, jump);!world name
1000;2;12;0;0;0.002;0.012;0.0;[404, 199, 187, 210];levels/training_1_41.txt
1000;3;16;0;0;0.003;0.016;0.0;[391, 205, 209, 195];levels/training_646.txt
1000;4;1;0;15;0.004;0.001;0.0;[397, 219, 193, 191];levels/training_199.txt
1000;6;4;0;5;0.006;0.004;0.0;[388, 202, 220, 190];levels/training_635.txt
1000;5;3;0;0;0.005;0.003;0.0;[408, 185, 193, 214];levels/training_283.txt
331;5;1;1;120;0.015105740181268883;0.0030211480362537764;0.0030211480362537764;[65, 64, 120, 82];levels/training_747.txt
669;4;15;0;0;0.005979073243647235;0.02242152466367713;0.0;[178, 111, 242, 138];levels/training_567.txt
1000;12;7;0;5;0.012;0.007;0.0;[207, 186, 383, 224];levels/training_41.txt
1000;14;31;0;5;0.014;0.031;0.0;[221, 183, 367, 229];levels/training_695.txt
573;7;0;1;135;0.012216404886561954;0.0;0.0017452006980802793;[112, 109, 192, 160];levels/training_1_185.txt
427;4;15;0;0;0.00936768149882904;0.0351288056206089;0.0;[79, 88, 177, 83];levels/training_712.txt
1000;4;8;0;0;0.004;0.008;0.0;[178, 198, 405, 219];levels/training_1_160.txt
1000;1;3;0;0;0.001;0.003;0.0;[183, 212, 222, 383];levels/training_273.txt
702;5;16;1;100;0.007122507122507123;0.022792022792022793;0.0014245014245014246;[139, 128, 275, 160];levels/training_450.txt
298;11;1;0;45;0.03691275167785235;0.003355704697986577;0.0;[62, 54, 111, 71];levels/training_544.txt
1000;0;4;0;0;0.0;0.004;0.0;[389, 176, 214, 221];levels/training_156.txt
1000;1;0;0;5;0.001;0.0;0.0;[280, 202, 213, 305];levels/training_333.txt
1000;2;0;0;10;0.002;0.0;0.0;[407, 199, 195, 199];levels/training_1_88.txt
247;2;0;1;110;0.008097165991902834;0.0;0.004048582995951417;[39, 39, 95, 74];levels/training_986.txt
753;2;16;0;0;0.0026560424966799467;0.021248339973439574;0.0;[134, 153, 298, 168];levels/training_475.txt
1000;5;6;0;5;0.005;0.006;0.0;[197, 175, 258, 370];levels/training_806.txt
1000;5;17;0;0;0.005;0.017;0.0;[192, 204, 351, 253];levels/training_49.txt
1000;4;21;0;0;0.004;0.021;0.0;[223, 175, 382, 220];levels/training_841.txt
1000;2;21;0;0;0.002;0.021;0.0;[230, 160, 328, 282];levels/training_456.txt
1000;1;14;0;0;0.001;0.014;0.0;[182, 187, 376, 255];levels/training_887.txt
1000;3;31;0;0;0.003;0.031;0.0;[200, 202, 416, 182];levels/training_1_114.txt
1000;8;4;0;5;0.008;0.004;0.0;[173, 219, 317, 291];levels/training_987.txt
1000;10;13;0;0;0.01;0.013;0.0;[212, 189, 331, 268];levels/training_207.txt
1000;7;13;0;5;0.007;0.013;0.0;[217, 175, 331, 277];levels/training_220.txt
1000;4;16;0;0;0.004;0.016;0.0;[206, 185, 396, 213];levels/training_1_36.txt
1000;6;11;0;0;0.006;0.011;0.0;[177, 180, 431, 212];levels/training_792.txt
142;5;0;1;125;0.035211267605633804;0.0;0.007042253521126761;[29, 23, 72, 18];levels/training_340.txt
352;3;11;1;110;0.008522727272727272;0.03125;0.002840909090909091;[72, 64, 143, 73];levels/training_643.txt
506;6;4;0;0;0.011857707509881422;0.007905138339920948;0.0;[101, 91, 200, 114];levels/training_1_153.txt
1000;1;11;0;0;0.001;0.011;0.0;[188, 189, 415, 208];levels/training_893.txt
1000;3;35;0;0;0.003;0.035;0.0;[169, 190, 455, 186];levels/training_563.txt
1000;1;23;0;0;0.001;0.023;0.0;[182, 203, 380, 235];levels/training_146.txt
1000;6;21;0;0;0.006;0.021;0.0;[171, 180, 393, 256];levels/training_828.txt
1000;3;16;0;0;0.003;0.016;0.0;[179, 166, 385, 270];levels/training_321.txt
1000;9;12;0;0;0.009;0.012;0.0;[202, 178, 394, 226];levels/training_256.txt
1000;7;5;0;0;0.007;0.005;0.0;[202, 187, 373, 238];levels/training_674.txt
1000;6;25;0;0;0.006;0.025;0.0;[161, 194, 374, 271];levels/training_191.txt
1000;7;20;0;0;0.007;0.02;0.0;[190, 172, 386, 252];levels/training_561.txt
1000;6;34;0;0;0.006;0.034;0.0;[176, 180, 388, 256];levels/training_191.txt
1000;7;0;0;35;0.007;0.0;0.0;[182, 187, 439, 192];levels/training_451.txt
769;10;20;1;125;0.013003901170351105;0.02600780234070221;0.0013003901170351106;[155, 134, 312, 168];levels/training_460.txt
231;4;2;0;0;0.017316017316017316;0.008658008658008658;0.0;[47, 31, 81, 72];levels/training_272.txt
164;4;0;1;120;0.024390243902439025;0.0;0.006097560975609756;[26, 26, 70, 42];levels/training_510.txt
836;5;13;0;0;0.005980861244019139;0.01555023923444976;0.0;[157, 149, 327, 203];levels/training_407.txt
1000;7;6;0;0;0.007;0.006;0.0;[171, 179, 363, 287];levels/training_666.txt
582;12;5;1;130;0.020618556701030927;0.00859106529209622;0.001718213058419244;[115, 121, 253, 93];levels/training_41.txt
418;4;6;0;0;0.009569377990430622;0.014354066985645933;0.0;[78, 70, 125, 145];levels/training_119.txt
1000;4;21;0;0;0.004;0.021;0.0;[164, 170, 401, 265];levels/training_43.txt
1000;4;8;0;0;0.004;0.008;0.0;[174, 192, 356, 278];levels/training_1_41.txt
1000;6;14;0;0;0.006;0.014;0.0;[190, 193, 414, 203];levels/training_143.txt
799;3;11;1;100;0.0037546933667083854;0.01376720901126408;0.0012515644555694619;[159, 130, 318, 192];levels/training_455.txt
201;1;0;0;5;0.004975124378109453;0.0;0.0;[44, 37, 50, 70];levels/training_805.txt
1000;4;21;0;0;0.004;0.021;0.0;[181, 184, 404, 231];levels/training_546.txt
1000;8;9;0;0;0.008;0.009;0.0;[190, 187, 398, 225];levels/training_88.txt
1000;8;12;0;0;0.008;0.012;0.0;[189, 183, 357, 271];levels/training_1_157.txt
714;8;4;1;125;0.011204481792717087;0.0056022408963585435;0.0014005602240896359;[121, 125, 336, 132];levels/training_529.txt
286;1;9;0;0;0.0034965034965034965;0.03146853146853147;0.0;[55, 51, 138, 42];levels/training_549.txt
988;4;62;1;110;0.004048582995951417;0.06275303643724696;0.0010121457489878543;[168, 165, 472, 183];levels/training_122.txt
12;0;0;0;0;0.0;0.0;0.0;[0, 3, 7, 2];levels/training_64.txt
282;7;0;1;135;0.024822695035460994;0.0;0.0035460992907801418;[49, 48, 120, 65];levels/training_363.txt
718;5;22;0;0;0.006963788300835654;0.03064066852367688;0.0;[132, 119, 319, 148];levels/training_115.txt
265;5;0;1;125;0.018867924528301886;0.0;0.0037735849056603774;[48, 58, 105, 54];levels/training_530.txt
735;8;21;0;0;0.010884353741496598;0.02857142857142857;0.0;[120, 140, 347, 128];levels/training_511.txt
1000;5;17;0;0;0.005;0.017;0.0;[184, 198, 428, 190];levels/training_1_101.txt
442;4;4;1;110;0.00904977375565611;0.00904977375565611;0.0022624434389140274;[78, 83, 200, 81];levels/training_515.txt
455;1;14;1;100;0.002197802197802198;0.03076923076923077;0.002197802197802198;[74, 103, 199, 79];levels/training_513.txt
103;8;1;0;30;0.07766990291262135;0.009708737864077669;0.0;[17, 19, 47, 20];levels/training_566.txt
1000;6;11;0;0;0.006;0.011;0.0;[193, 160, 417, 230];levels/training_141.txt
1000;9;8;0;0;0.009;0.008;0.0;[205, 193, 410, 192];levels/training_1_89.txt
1000;8;10;0;0;0.008;0.01;0.0;[198, 180, 429, 193];levels/training_762.txt
599;8;9;1;115;0.01335559265442404;0.015025041736227046;0.001669449081803005;[104, 111, 246, 138];levels/training_995.txt
401;5;5;0;0;0.012468827930174564;0.012468827930174564;0.0;[72, 80, 185, 64];levels/training_729.txt
577;10;2;1;130;0.01733102253032929;0.0034662045060658577;0.0017331022530329288;[106, 100, 229, 142];levels/training_1_126.txt
423;5;6;0;5;0.01182033096926714;0.014184397163120567;0.0;[71, 62, 190, 100];levels/training_446.txt
1000;8;23;0;0;0.008;0.023;0.0;[197, 161, 380, 262];levels/training_219.txt
257;7;5;1;120;0.027237354085603113;0.019455252918287938;0.0038910505836575876;[48, 35, 111, 63];levels/training_37.txt
339;8;2;1;120;0.02359882005899705;0.0058997050147492625;0.0029498525073746312;[44, 62, 154, 79];levels/training_388.txt
404;8;7;0;5;0.019801980198019802;0.017326732673267328;0.0;[91, 86, 146, 81];levels/training_768.txt
722;8;11;1;115;0.0110803324099723;0.015235457063711912;0.0013850415512465374;[127, 129, 303, 163];levels/training_687.txt
278;5;7;0;0;0.017985611510791366;0.025179856115107913;0.0;[41, 42, 122, 73];levels/training_158.txt
1000;9;8;0;0;0.009;0.008;0.0;[177, 168, 438, 217];levels/training_1_128.txt
1000;14;9;0;0;0.014;0.009;0.0;[192, 176, 370, 262];levels/training_978.txt
275;4;2;1;110;0.014545454545454545;0.007272727272727273;0.0036363636363636364;[40, 52, 122, 61];levels/training_746.txt
725;4;12;0;0;0.005517241379310344;0.016551724137931035;0.0;[144, 119, 294, 168];levels/training_889.txt
213;4;0;1;120;0.018779342723004695;0.0;0.004694835680751174;[33, 39, 90, 51];levels/training_866.txt
787;7;7;0;0;0.008894536213468869;0.008894536213468869;0.0;[128, 147, 360, 152];levels/training_1_65.txt
1000;7;16;0;5;0.007;0.016;0.0;[177, 173, 443, 207];levels/training_51.txt
181;1;0;1;105;0.0055248618784530384;0.0;0.0055248618784530384;[33, 35, 77, 36];levels/training_293.txt
819;2;7;0;10;0.002442002442002442;0.008547008547008548;0.0;[138, 137, 351, 193];levels/training_157.txt
1000;7;6;0;0;0.007;0.006;0.0;[165, 183, 473, 179];levels/training_448.txt
312;11;2;1;145;0.035256410256410256;0.00641025641025641;0.003205128205128205;[45, 47, 153, 67];levels/training_634.txt
123;4;0;1;120;0.032520325203252036;0.0;0.008130081300813009;[15, 19, 66, 23];levels/training_567.txt
565;11;5;0;10;0.019469026548672566;0.008849557522123894;0.0;[111, 89, 251, 114];levels/training_245.txt
467;7;6;1;115;0.014989293361884369;0.01284796573875803;0.0021413276231263384;[66, 65, 235, 101];levels/training_470.txt
533;6;5;0;0;0.01125703564727955;0.009380863039399626;0.0;[87, 88, 233, 125];levels/training_730.txt
1000;8;34;0;5;0.008;0.034;0.0;[172, 178, 430, 220];levels/training_353.txt
1000;6;19;0;0;0.006;0.019;0.0;[176, 151, 477, 196];levels/training_647.txt
865;17;7;1;140;0.019653179190751446;0.008092485549132947;0.0011560693641618498;[131, 162, 386, 186];levels/training_1_196.txt
135;2;3;0;0;0.014814814814814815;0.022222222222222223;0.0;[27, 24, 54, 30];levels/training_78.txt
279;5;3;1;105;0.017921146953405017;0.010752688172043012;0.0035842293906810036;[55, 41, 131, 52];levels/training_513.txt
124;3;0;1;115;0.024193548387096774;0.0;0.008064516129032258;[18, 18, 64, 24];levels/training_772.txt
597;1;8;0;0;0.0016750418760469012;0.01340033500837521;0.0;[94, 107, 284, 112];levels/training_487.txt
1000;4;27;0;0;0.004;0.027;0.0;[181, 156, 476, 187];levels/training_77.txt
1000;12;14;0;10;0.012;0.014;0.0;[179, 163, 455, 203];levels/training_528.txt
1000;9;18;0;0;0.009;0.018;0.0;[170, 180, 440, 210];levels/training_331.txt
182;6;2;1;130;0.03296703296703297;0.01098901098901099;0.005494505494505495;[31, 24, 79, 48];levels/training_168.txt
572;4;0;1;120;0.006993006993006993;0.0;0.0017482517482517483;[92, 93, 291, 96];levels/training_746.txt
246;4;1;0;10;0.016260162601626018;0.0040650406504065045;0.0;[39, 41, 121, 45];levels/training_132.txt
1000;11;9;0;5;0.011;0.009;0.0;[189, 153, 475, 183];levels/training_494.txt
1000;5;15;0;0;0.005;0.015;0.0;[171, 196, 424, 209];levels/training_180.txt
1000;3;27;0;0;0.003;0.027;0.0;[187, 145, 469, 199];levels/training_956.txt
1000;10;23;0;0;0.01;0.023;0.0;[161, 143, 487, 209];levels/training_1_7.txt
1000;8;16;0;0;0.008;0.016;0.0;[172, 176, 448, 204];levels/training_1_194.txt
937;4;16;1;110;0.004268943436499467;0.017075773745997867;0.0010672358591248667;[143, 156, 449, 189];levels/training_794.txt
63;1;0;0;5;0.015873015873015872;0.0;0.0;[10, 12, 33, 8];levels/training_137.txt
1000;9;6;0;20;0.009;0.006;0.0;[160, 136, 527, 177];levels/training_365.txt
1000;15;10;0;0;0.015;0.01;0.0;[162, 161, 486, 191];levels/training_593.txt
1000;4;35;0;0;0.004;0.035;0.0;[148, 152, 479, 221];levels/training_850.txt
870;5;9;1;105;0.005747126436781609;0.010344827586206896;0.0011494252873563218;[136, 140, 405, 189];levels/training_1_14.txt
130;2;1;0;10;0.015384615384615385;0.007692307692307693;0.0;[16, 23, 61, 30];levels/training_660.txt
272;3;1;1;115;0.011029411764705883;0.003676470588235294;0.003676470588235294;[50, 45, 111, 66];levels/training_686.txt
728;7;12;0;0;0.009615384615384616;0.016483516483516484;0.0;[123, 118, 329, 158];levels/training_1_98.txt
1000;11;12;0;0;0.011;0.012;0.0;[147, 154, 467, 232];levels/training_1_136.txt
1000;6;17;0;0;0.006;0.017;0.0;[155, 165, 435, 245];levels/training_1_24.txt
1000;4;34;0;0;0.004;0.034;0.0;[165, 158, 419, 258];levels/training_1_111.txt
1000;5;14;0;0;0.005;0.014;0.0;[160, 166, 426, 248];levels/training_1_178.txt
1000;10;9;0;5;0.01;0.009;0.0;[131, 160, 516, 193];levels/training_760.txt
1000;9;16;0;0;0.009;0.016;0.0;[144, 176, 493, 187];levels/training_130.txt
269;3;3;1;105;0.011152416356877323;0.011152416356877323;0.0037174721189591076;[47, 46, 129, 47];levels/training_264.txt
731;16;8;0;0;0.02188782489740082;0.01094391244870041;0.0;[127, 109, 346, 149];levels/training_463.txt
248;7;3;1;115;0.028225806451612902;0.012096774193548387;0.004032258064516129;[38, 42, 121, 47];levels/training_147.txt
752;7;33;0;0;0.009308510638297872;0.043882978723404256;0.0;[127, 115, 373, 137];levels/training_832.txt
1000;5;25;0;0;0.005;0.025;0.0;[150, 152, 460, 238];levels/training_763.txt
706;5;5;1;100;0.007082152974504249;0.007082152974504249;0.00141643059490085;[119, 106, 316, 165];levels/training_624.txt
