frames since last update;coins collected;deaths;levels beaten;score gathered;move count (no action, left, right, jump);!world name
1000;2;0;0;10;[404, 199, 187, 210];levels/training_726.txt
1000;8;1;0;30;[391, 205, 209, 195];levels/training_597.txt
1000;1;5;0;0;[397, 219, 193, 191];levels/training_50.txt
1000;3;16;0;0;[388, 202, 220, 190];levels/training_9.txt
1000;3;5;0;0;[408, 185, 193, 214];levels/training_921.txt
1000;3;8;0;0;[242, 175, 252, 331];levels/training_467.txt
1000;2;9;0;0;[325, 186, 295, 194];levels/training_285.txt
1000;1;3;0;0;[216, 184, 236, 364];levels/training_958.txt
1000;1;19;0;0;[183, 197, 226, 394];levels/training_813.txt
1000;5;7;0;0;[225, 198, 297, 280];levels/training_927.txt
1000;1;2;0;0;[187, 227, 233, 353];levels/training_228.txt
1000;4;7;0;0;[196, 182, 352, 270];levels/training_164.txt
1000;3;8;0;0;[243, 176, 285, 296];levels/training_1_176.txt
1000;2;20;0;0;[206, 192, 319, 283];levels/training_961.txt
1000;5;28;0;0;[259, 212, 307, 222];levels/training_1_77.txt
1000;7;8;0;0;[191, 192, 350, 267];levels/training_41.txt
1000;8;14;0;0;[243, 175, 328, 254];levels/training_280.txt
1000;6;6;0;0;[237, 219, 316, 228];levels/training_88.txt
1000;13;18;0;5;[224, 178, 387, 211];levels/training_907.txt
1000;2;7;0;0;[325, 161, 309, 205];levels/training_1_124.txt
1000;4;15;0;0;[179, 187, 330, 304];levels/training_1_90.txt
1000;3;20;0;0;[194, 211, 265, 330];levels/training_956.txt
1000;3;18;0;0;[248, 172, 381, 199];levels/training_678.txt
1000;4;7;0;0;[185, 198, 318, 299];levels/training_1_168.txt
1000;11;5;0;5;[173, 217, 359, 251];levels/training_1_40.txt
1000;4;27;0;0;[200, 189, 379, 232];levels/training_115.txt
1000;2;14;0;0;[179, 192, 343, 286];levels/training_285.txt
1000;6;18;0;0;[211, 178, 422, 189];levels/training_178.txt
1000;4;12;0;0;[194, 200, 375, 231];levels/training_484.txt
1000;6;29;0;0;[185, 194, 426, 195];levels/training_325.txt
1000;1;93;0;0;[201, 188, 437, 174];levels/training_122.txt
1000;4;21;0;0;[178, 189, 405, 228];levels/training_7.txt
145;3;0;1;115;[31, 20, 67, 26];levels/training_86.txt
855;2;29;0;0;[160, 169, 348, 178];levels/training_399.txt
1000;4;4;0;0;[197, 185, 355, 263];levels/training_726.txt
624;14;5;1;130;[132, 126, 250, 115];levels/training_934.txt
376;3;3;0;0;[74, 65, 99, 138];levels/training_128.txt
1000;4;9;0;0;[195, 203, 256, 346];levels/training_564.txt
1000;3;21;0;0;[176, 186, 177, 461];levels/training_369.txt
1000;6;0;0;30;[292, 188, 186, 334];levels/training_1_89.txt
1000;3;0;0;15;[189, 177, 181, 453];levels/training_238.txt
1000;8;25;0;0;[222, 188, 319, 271];levels/training_534.txt
492;9;4;1;135;[88, 92, 197, 114];levels/training_1_34.txt
508;5;10;0;0;[113, 81, 203, 111];levels/training_528.txt
1000;6;4;0;0;[157, 181, 336, 326];levels/training_1_181.txt
1000;6;12;0;0;[182, 187, 415, 216];levels/training_978.txt
1000;4;15;0;0;[185, 176, 379, 260];levels/training_504.txt
1000;10;8;0;0;[175, 182, 441, 202];levels/training_527.txt
1000;0;0;0;0;[188, 175, 170, 467];levels/training_681.txt
1000;0;25;0;0;[164, 187, 183, 466];levels/training_318.txt
1000;8;2;0;20;[184, 187, 211, 418];levels/training_576.txt
1000;3;7;0;0;[184, 184, 167, 465];levels/training_337.txt
1000;1;3;0;0;[187, 192, 193, 428];levels/training_137.txt
467;8;3;1;130;[81, 76, 187, 122];levels/training_862.txt
533;2;6;0;0;[116, 89, 225, 103];levels/training_741.txt
1000;6;15;0;0;[198, 173, 391, 238];levels/training_178.txt
205;2;0;1;110;[41, 38, 84, 41];levels/training_258.txt
795;6;12;0;0;[160, 138, 329, 168];levels/training_368.txt
1000;8;7;0;0;[192, 155, 326, 327];levels/training_779.txt
1000;7;20;0;0;[178, 174, 329, 319];levels/training_880.txt
1000;5;17;0;0;[185, 175, 456, 184];levels/training_1_148.txt
1000;15;9;0;0;[221, 162, 408, 209];levels/training_1_47.txt
1000;8;12;0;0;[176, 178, 451, 195];levels/training_688.txt
1000;3;18;0;0;[182, 191, 406, 221];levels/training_28.txt
729;11;2;1;135;[199, 132, 271, 126];levels/training_879.txt
271;1;10;0;0;[52, 43, 113, 63];levels/training_343.txt
1000;13;4;0;25;[193, 158, 379, 270];levels/training_5.txt
1000;1;6;0;0;[192, 192, 277, 339];levels/training_203.txt
1000;0;22;0;0;[193, 160, 334, 313];levels/training_77.txt
1000;8;6;0;0;[164, 165, 427, 244];levels/training_517.txt
1000;11;11;0;0;[184, 164, 373, 279];levels/training_964.txt
1000;5;14;0;5;[163, 178, 481, 178];levels/training_283.txt
1000;7;17;0;0;[171, 163, 461, 205];levels/training_462.txt
1000;1;33;0;0;[168, 144, 441, 247];levels/training_536.txt
307;10;1;1;140;[46, 51, 144, 65];levels/training_638.txt
693;6;13;0;0;[131, 135, 269, 158];levels/training_1_182.txt
571;10;10;1;110;[105, 87, 277, 101];levels/training_1.txt
429;5;10;0;15;[74, 72, 196, 87];levels/training_501.txt
1000;6;33;0;0;[159, 178, 447, 216];levels/training_1_190.txt
1000;3;13;0;0;[173, 170, 418, 239];levels/training_1_142.txt
1000;5;1;0;15;[159, 158, 214, 469];levels/training_1_23.txt
1000;5;13;0;0;[162, 168, 201, 469];levels/training_249.txt
1000;3;1;0;5;[170, 176, 148, 506];levels/training_1_73.txt
1000;4;8;0;0;[146, 184, 488, 182];levels/training_476.txt
1000;4;21;0;0;[179, 163, 481, 177];levels/training_65.txt
1000;4;29;0;0;[165, 162, 459, 214];levels/training_1_86.txt
552;4;5;1;100;[103, 90, 265, 93];levels/training_273.txt
313;6;6;1;105;[54, 51, 129, 78];levels/training_306.txt
135;3;1;0;15;[21, 23, 56, 35];levels/training_104.txt
1000;7;28;0;0;[173, 150, 479, 198];levels/training_139.txt
1000;8;23;0;0;[163, 172, 445, 220];levels/training_561.txt
1000;6;14;0;0;[160, 143, 459, 238];levels/training_784.txt
773;10;10;1;120;[138, 106, 344, 184];levels/training_430.txt
227;6;1;0;25;[42, 37, 97, 51];levels/training_709.txt
1000;6;32;0;0;[165, 146, 487, 202];levels/training_483.txt
202;5;3;1;120;[26, 29, 98, 48];levels/training_663.txt
798;6;31;0;0;[116, 148, 392, 142];levels/training_39.txt
1000;12;16;0;0;[169, 156, 467, 208];levels/training_621.txt
1000;7;15;0;0;[154, 184, 448, 214];levels/training_1_127.txt
1000;8;6;0;0;[165, 149, 477, 209];levels/training_661.txt
1000;9;9;0;0;[156, 162, 470, 212];levels/training_248.txt
1000;5;39;0;0;[170, 163, 436, 231];levels/training_994.txt
188;5;0;1;125;[23, 36, 95, 33];levels/training_214.txt
188;4;0;1;120;[40, 31, 80, 36];levels/training_727.txt
624;10;0;0;50;[105, 108, 312, 99];levels/training_650.txt
279;5;3;1;115;[43, 36, 154, 45];levels/training_218.txt
721;5;26;0;0;[133, 125, 311, 152];levels/training_1_111.txt
425;6;4;1;105;[64, 53, 219, 88];levels/training_645.txt
575;3;7;0;0;[90, 105, 263, 117];levels/training_910.txt
157;11;0;1;155;[25, 24, 81, 26];levels/training_169.txt
843;2;14;0;0;[145, 142, 394, 162];levels/training_250.txt
1000;6;28;0;0;[158, 178, 497, 167];levels/training_369.txt
1000;8;26;0;0;[169, 157, 451, 223];levels/training_124.txt
1000;6;9;0;0;[152, 168, 448, 232];levels/training_1_60.txt
262;2;1;1;105;[48, 37, 119, 57];levels/training_518.txt
284;3;3;1;105;[47, 39, 131, 66];levels/training_632.txt
454;3;3;0;0;[84, 71, 213, 86];levels/training_857.txt
1000;4;0;0;20;[149, 155, 519, 177];levels/training_807.txt
1000;9;17;0;0;[148, 162, 470, 220];levels/training_1_117.txt
489;3;3;1;105;[79, 73, 247, 89];levels/training_293.txt
511;12;3;0;35;[82, 75, 257, 97];levels/training_219.txt
1000;6;7;0;0;[157, 153, 497, 193];levels/training_1_152.txt
1000;7;16;0;0;[142, 148, 510, 200];levels/training_587.txt
130;4;0;1;120;[15, 20, 68, 26];levels/training_570.txt
870;5;23;0;0;[130, 149, 399, 192];levels/training_191.txt
1000;3;18;0;0;[163, 155, 444, 238];levels/training_910.txt
1000;8;22;0;0;[148, 145, 527, 180];levels/training_24.txt
1000;6;22;0;0;[158, 157, 510, 175];levels/training_327.txt
1000;7;11;0;0;[153, 157, 510, 180];levels/training_1_122.txt
1000;6;17;0;0;[177, 142, 523, 158];levels/training_1_39.txt
995;8;14;1;105;[155, 161, 502, 176];levels/training_804.txt
5;0;0;0;0;[1, 0, 1, 3];levels/training_775.txt
170;2;0;1;110;[30, 31, 81, 27];levels/training_188.txt
830;7;17;0;0;[135, 115, 418, 162];levels/training_51.txt
1000;9;13;0;0;[149, 172, 438, 241];levels/training_816.txt
142;4;3;1;120;[21, 15, 74, 31];levels/training_773.txt
605;2;19;1;100;[86, 92, 289, 137];levels/training_428.txt
253;4;6;0;5;[34, 43, 119, 57];levels/training_240.txt
1000;7;30;0;0;[162, 173, 412, 253];levels/training_483.txt
561;8;7;1;105;[76, 80, 288, 116];levels/training_678.txt
439;11;10;0;5;[59, 76, 223, 81];levels/training_34.txt
1000;8;18;0;0;[157, 139, 511, 193];levels/training_1_93.txt
133;5;1;1;125;[20, 14, 71, 27];levels/training_564.txt
867;3;17;0;0;[137, 122, 460, 148];levels/training_718.txt
1000;5;13;0;0;[132, 182, 510, 176];levels/training_995.txt
118;8;0;1;140;[20, 17, 62, 18];levels/training_59.txt
198;6;3;1;120;[29, 35, 105, 28];levels/training_275.txt
505;5;7;1;105;[79, 90, 233, 102];levels/training_515.txt
179;0;5;0;0;[30, 31, 104, 14];levels/training_731.txt
1000;11;13;0;0;[142, 158, 455, 245];levels/training_1_2.txt
1000;9;69;0;0;[148, 169, 497, 186];levels/training_419.txt
277;7;2;1;115;[50, 36, 146, 44];levels/training_826.txt
395;5;2;1;110;[70, 50, 186, 88];levels/training_514.txt
328;5;4;0;0;[42, 45, 160, 81];levels/training_699.txt
471;9;6;1;100;[62, 64, 254, 90];levels/training_1_175.txt
529;4;11;0;0;[100, 69, 267, 93];levels/training_428.txt
337;7;3;1;105;[51, 42, 176, 67];levels/training_324.txt
203;5;3;1;115;[28, 30, 105, 39];levels/training_948.txt
403;8;6;1;115;[62, 59, 211, 70];levels/training_1_192.txt
57;3;2;0;0;[7, 9, 37, 4];levels/training_648.txt
144;3;0;1;115;[13, 22, 70, 38];levels/training_0.txt
153;8;0;1;140;[21, 19, 80, 32];levels/training_1_158.txt
703;1;16;0;0;[105, 112, 323, 163];levels/training_266.txt
1000;7;13;0;0;[156, 141, 517, 186];levels/training_926.txt
186;2;1;1;105;[28, 34, 97, 26];levels/training_890.txt
814;4;28;0;0;[127, 116, 332, 239];levels/training_1_186.txt
155;5;3;1;115;[19, 23, 92, 20];levels/training_715.txt
253;4;3;1;110;[26, 35, 152, 39];levels/training_793.txt
592;9;5;0;10;[69, 92, 330, 101];levels/training_334.txt
517;4;6;1;100;[73, 64, 289, 90];levels/training_557.txt
483;14;5;0;20;[69, 66, 253, 95];levels/training_195.txt
871;7;24;1;100;[124, 119, 441, 186];levels/training_115.txt
129;3;3;0;0;[25, 24, 51, 29];levels/training_211.txt
987;14;17;1;125;[156, 160, 436, 234];levels/training_1_75.txt
13;0;0;0;0;[2, 1, 4, 6];levels/training_1_52.txt
181;8;0;1;140;[28, 21, 97, 34];levels/training_1_40.txt
819;12;16;0;0;[123, 105, 422, 169];levels/training_1_7.txt
165;2;9;1;105;[21, 24, 89, 30];levels/training_861.txt
835;8;19;0;0;[111, 112, 457, 155];levels/training_588.txt
438;4;2;1;100;[55, 70, 229, 83];levels/training_1_14.txt
159;3;1;1;105;[21, 25, 87, 25];levels/training_709.txt
403;8;5;0;5;[60, 57, 202, 84];levels/training_1_92.txt
1000;7;10;0;0;[135, 130, 523, 212];levels/training_492.txt
1000;9;1;0;35;[154, 138, 551, 157];levels/training_922.txt
423;8;3;1;120;[61, 72, 220, 69];levels/training_91.txt
120;1;0;1;105;[17, 14, 65, 23];levels/training_7.txt
457;2;4;0;0;[61, 63, 241, 92];levels/training_841.txt
1000;8;13;0;15;[143, 132, 550, 175];levels/training_153.txt
593;7;9;1;115;[75, 92, 330, 95];levels/training_408.txt
407;2;8;0;0;[62, 50, 243, 52];levels/training_898.txt
1000;6;2;0;10;[130, 159, 555, 156];levels/training_367.txt
1000;5;21;0;0;[126, 151, 522, 201];levels/training_918.txt
1000;8;5;0;35;[121, 136, 523, 220];levels/training_1_80.txt
149;8;0;1;140;[21, 15, 80, 32];levels/training_1_184.txt
282;1;1;1;100;[43, 39, 141, 58];levels/training_741.txt
569;7;7;0;0;[83, 81, 314, 91];levels/training_703.txt
1000;6;0;0;30;[159, 133, 568, 140];levels/training_552.txt
1000;5;6;0;10;[138, 132, 337, 393];levels/training_37.txt
519;2;3;1;110;[73, 81, 302, 62];levels/training_584.txt
481;9;13;0;0;[69, 68, 244, 100];levels/training_618.txt
1000;8;11;0;10;[145, 126, 563, 166];levels/training_1_151.txt
1000;5;13;0;0;[135, 144, 531, 190];levels/training_885.txt
388;7;5;1;125;[48, 55, 221, 63];levels/training_793.txt
612;6;1;0;20;[77, 78, 369, 88];levels/training_405.txt
101;1;0;1;105;[13, 13, 52, 22];levels/training_903.txt
325;6;3;1;115;[47, 42, 173, 62];levels/training_356.txt
122;1;0;1;105;[17, 15, 62, 27];levels/training_316.txt
452;6;8;0;0;[68, 55, 242, 87];levels/training_523.txt
314;6;3;1;105;[49, 42, 175, 47];levels/training_244.txt
355;8;5;1;125;[45, 58, 191, 60];levels/training_1_88.txt
331;9;7;0;0;[42, 48, 182, 59];levels/training_934.txt
300;1;2;1;100;[31, 45, 166, 57];levels/training_969.txt
700;8;11;0;0;[102, 101, 372, 125];levels/training_334.txt
338;6;6;1;105;[47, 41, 150, 99];levels/training_791.txt
662;3;0;0;15;[119, 76, 211, 256];levels/training_748.txt
99;3;0;1;115;[12, 6, 59, 21];levels/training_844.txt
230;7;1;1;125;[24, 37, 136, 32];levels/training_786.txt
671;7;11;0;5;[95, 92, 358, 126];levels/training_626.txt
1000;7;1;0;30;[110, 149, 513, 228];levels/training_165.txt
418;11;4;1;125;[62, 55, 235, 65];levels/training_1_141.txt
196;4;2;1;110;[23, 26, 116, 30];levels/training_324.txt
262;2;4;1;105;[38, 38, 139, 46];levels/training_9.txt
124;2;2;0;0;[17, 14, 64, 29];levels/training_449.txt
628;9;5;1;115;[88, 76, 367, 96];levels/training_375.txt
327;6;1;1;120;[40, 42, 189, 55];levels/training_26.txt
45;1;0;0;5;[7, 4, 27, 7];levels/training_187.txt
359;9;3;1;115;[42, 40, 206, 70];levels/training_165.txt
641;4;11;0;0;[83, 72, 362, 124];levels/training_971.txt
502;2;3;1;105;[72, 70, 273, 86];levels/training_655.txt
498;2;3;0;10;[69, 65, 301, 63];levels/training_234.txt
157;2;1;1;110;[23, 15, 94, 24];levels/training_974.txt
843;13;18;0;0;[109, 116, 477, 141];levels/training_907.txt
1000;15;15;0;0;[117, 139, 580, 164];levels/training_907.txt
332;8;2;1;120;[58, 47, 171, 55];levels/training_47.txt
97;3;0;1;115;[15, 11, 54, 16];levels/training_376.txt
571;5;18;0;0;[90, 55, 328, 98];levels/training_682.txt
108;1;0;1;105;[18, 8, 62, 19];levels/training_187.txt
892;10;3;0;30;[122, 103, 539, 128];levels/training_59.txt
746;12;11;1;105;[105, 96, 406, 138];levels/training_511.txt
254;2;20;0;0;[25, 36, 146, 47];levels/training_1_177.txt
387;6;4;1;100;[56, 34, 213, 83];levels/training_31.txt
613;3;3;0;5;[77, 65, 381, 90];levels/training_726.txt
939;10;14;1;105;[104, 117, 537, 180];levels/training_315.txt
61;3;1;0;10;[7, 5, 39, 10];levels/training_1_75.txt
439;5;3;1;105;[50, 56, 254, 78];levels/training_166.txt
561;2;1;0;0;[58, 153, 267, 83];levels/training_145.txt
1000;5;31;0;0;[127, 136, 525, 212];levels/training_287.txt
1000;4;0;0;20;[130, 121, 620, 129];levels/training_433.txt
781;11;12;1;100;[100, 103, 429, 148];levels/training_311.txt
219;6;3;0;20;[23, 35, 99, 62];levels/training_885.txt
315;9;6;1;120;[39, 48, 169, 58];levels/training_835.txt
334;8;0;1;140;[50, 56, 172, 55];levels/training_1_190.txt
351;5;9;0;0;[38, 40, 195, 78];levels/training_505.txt
1000;1;1;0;0;[135, 121, 620, 124];levels/training_808.txt
160;7;1;1;125;[15, 23, 97, 24];levels/training_206.txt
840;9;1;0;40;[114, 96, 518, 112];levels/training_1_58.txt
351;8;10;1;120;[43, 47, 191, 69];levels/training_170.txt
108;5;1;1;120;[17, 13, 63, 14];levels/training_341.txt
91;6;0;1;130;[11, 9, 60, 10];levels/training_229.txt
450;11;3;0;25;[54, 49, 273, 74];levels/training_1_196.txt
