frames since last update;coins collected;deaths;levels beaten;score gathered;coins per frame;deaths per frame;levels beaten per frame;move count (no action, left, right, jump);!world name
1000;3;6;0;0;0.003;0.006;0.0;[404, 199, 187, 210];levels_randomized_gfx/training_1_1.txt
1000;1;4;0;0;0.001;0.004;0.0;[391, 205, 209, 195];levels_randomized_gfx/training_706.txt
1000;0;25;0;0;0.0;0.025;0.0;[397, 219, 193, 191];levels_randomized_gfx/training_558.txt
1000;4;0;0;20;0.004;0.0;0.0;[388, 202, 220, 190];levels_randomized_gfx/training_732.txt
1000;7;1;0;25;0.007;0.001;0.0;[408, 185, 193, 214];levels_randomized_gfx/training_85.txt
1000;4;0;0;20;0.004;0.0;0.0;[220, 175, 187, 418];levels_randomized_gfx/training_547.txt
1000;3;12;0;0;0.003;0.012;0.0;[200, 210, 371, 219];levels_randomized_gfx/training_579.txt
1000;1;45;0;0;0.001;0.045;0.0;[322, 183, 285, 210];levels_randomized_gfx/training_822.txt
1000;6;27;0;0;0.006;0.027;0.0;[204, 197, 345, 254];levels_randomized_gfx/training_689.txt
1000;3;0;0;15;0.003;0.0;0.0;[188, 198, 193, 421];levels_randomized_gfx/training_291.txt
1000;8;1;0;30;0.008;0.001;0.0;[178, 212, 214, 396];levels_randomized_gfx/training_617.txt
1000;2;17;0;0;0.002;0.017;0.0;[200, 183, 296, 321];levels_randomized_gfx/training_498.txt
620;3;2;1;110;0.004838709677419355;0.0032258064516129032;0.0016129032258064516;[111, 115, 195, 199];levels_randomized_gfx/training_862.txt
380;6;4;0;0;0.015789473684210527;0.010526315789473684;0.0;[167, 61, 79, 73];levels_randomized_gfx/training_441.txt
1000;2;15;0;0;0.002;0.015;0.0;[206, 192, 287, 315];levels_randomized_gfx/training_482.txt
1000;0;32;0;0;0.0;0.032;0.0;[205, 199, 194, 402];levels_randomized_gfx/training_592.txt
1000;8;11;0;10;0.008;0.011;0.0;[169, 192, 430, 209];levels_randomized_gfx/training_1_193.txt
1000;4;30;0;0;0.004;0.03;0.0;[197, 175, 355, 273];levels_randomized_gfx/training_213.txt
1000;6;3;0;15;0.006;0.003;0.0;[181, 203, 316, 300];levels_randomized_gfx/training_1_143.txt
1000;6;16;0;0;0.006;0.016;0.0;[199, 175, 318, 308];levels_randomized_gfx/training_182.txt
1000;8;11;0;5;0.008;0.011;0.0;[225, 164, 268, 343];levels_randomized_gfx/training_984.txt
1000;2;5;0;0;0.002;0.005;0.0;[181, 187, 254, 378];levels_randomized_gfx/training_630.txt
1000;3;12;0;0;0.003;0.012;0.0;[186, 202, 435, 177];levels_randomized_gfx/training_1_140.txt
1000;4;40;0;0;0.004;0.04;0.0;[175, 219, 403, 203];levels_randomized_gfx/training_818.txt
1000;6;4;0;0;0.006;0.004;0.0;[234, 188, 277, 301];levels_randomized_gfx/training_470.txt
1000;9;11;0;0;0.009;0.011;0.0;[199, 175, 312, 314];levels_randomized_gfx/training_1_71.txt
1000;7;8;0;0;0.007;0.008;0.0;[205, 184, 400, 211];levels_randomized_gfx/training_361.txt
1000;3;23;0;0;0.003;0.023;0.0;[177, 180, 445, 198];levels_randomized_gfx/training_346.txt
1000;5;21;0;0;0.005;0.021;0.0;[199, 178, 387, 236];levels_randomized_gfx/training_799.txt
1000;3;30;0;0;0.003;0.03;0.0;[217, 189, 396, 198];levels_randomized_gfx/training_192.txt
1000;3;24;0;0;0.003;0.024;0.0;[169, 190, 364, 277];levels_randomized_gfx/training_826.txt
1000;7;11;0;0;0.007;0.011;0.0;[183, 203, 359, 255];levels_randomized_gfx/training_6.txt
1000;4;2;0;0;0.004;0.002;0.0;[171, 180, 203, 446];levels_randomized_gfx/training_820.txt
1000;2;19;0;0;0.002;0.019;0.0;[180, 166, 386, 268];levels_randomized_gfx/training_1_19.txt
1000;4;7;0;0;0.004;0.007;0.0;[428, 178, 200, 194];levels_randomized_gfx/training_1_189.txt
1000;0;22;0;0;0.0;0.022;0.0;[200, 187, 365, 248];levels_randomized_gfx/training_908.txt
380;4;3;1;115;0.010526315789473684;0.007894736842105263;0.002631578947368421;[63, 73, 142, 102];levels_randomized_gfx/training_422.txt
620;3;2;0;5;0.004838709677419355;0.0032258064516129032;0.0;[96, 121, 179, 224];levels_randomized_gfx/training_758.txt
1000;3;37;0;0;0.003;0.037;0.0;[190, 172, 453, 185];levels_randomized_gfx/training_789.txt
1000;0;28;0;0;0.0;0.028;0.0;[174, 179, 314, 333];levels_randomized_gfx/training_1_0.txt
1000;5;5;0;0;0.005;0.005;0.0;[182, 187, 268, 363];levels_randomized_gfx/training_475.txt
1000;1;18;0;0;0.001;0.018;0.0;[201, 165, 393, 241];levels_randomized_gfx/training_73.txt
