frames since last update;coins collected;deaths;levels beaten;score gathered;coins per frame;deaths per frame;levels beaten per frame;move count (no action, left, right, jump);!world name
1000;5;4;0;0;0.005;0.004;0.0;[404, 199, 187, 210];levels/training_800.txt
1000;3;5;0;0;0.003;0.005;0.0;[391, 205, 209, 195];levels/training_47.txt
1000;4;0;0;20;0.004;0.0;0.0;[397, 219, 193, 191];levels/training_42.txt
1000;6;0;0;30;0.006;0.0;0.0;[388, 202, 220, 190];levels/training_382.txt
1000;3;35;0;0;0.003;0.035;0.0;[408, 185, 193, 214];levels/training_439.txt
1000;1;20;0;0;0.001;0.02;0.0;[220, 175, 391, 214];levels/training_266.txt
1000;4;35;0;0;0.004;0.035;0.0;[200, 186, 420, 194];levels/training_1_147.txt
1000;5;29;0;0;0.005;0.029;0.0;[216, 183, 409, 192];levels/training_751.txt
1000;4;13;0;0;0.004;0.013;0.0;[184, 197, 420, 199];levels/training_1_154.txt
1000;5;8;0;5;0.005;0.008;0.0;[178, 198, 412, 212];levels/training_902.txt
1000;1;0;0;5;0.001;0.0;0.0;[179, 212, 214, 395];levels/training_756.txt
1000;6;9;0;0;0.006;0.009;0.0;[304, 182, 228, 286];levels/training_1_17.txt
1000;6;5;0;0;0.006;0.005;0.0;[197, 177, 213, 413];levels/training_849.txt
1000;2;12;0;0;0.002;0.012;0.0;[213, 193, 351, 243];levels/training_111.txt
1000;3;12;0;0;0.003;0.012;0.0;[205, 200, 234, 361];levels/training_818.txt
1000;5;6;0;0;0.005;0.006;0.0;[193, 192, 374, 241];levels/training_82.txt
1000;7;5;0;0;0.007;0.005;0.0;[233, 175, 348, 244];levels/training_297.txt
1000;6;0;0;30;0.006;0.0;0.0;[241, 207, 239, 313];levels/training_538.txt
1000;2;14;0;0;0.002;0.014;0.0;[226, 175, 331, 268];levels/training_982.txt
1000;3;11;0;0;0.003;0.011;0.0;[249, 160, 265, 326];levels/training_886.txt
1000;1;21;0;0;0.001;0.021;0.0;[387, 185, 235, 193];levels/training_1_170.txt
181;3;0;1;115;0.016574585635359115;0.0;0.0055248618784530384;[42, 31, 77, 31];levels/training_860.txt
819;3;2;0;5;0.003663003663003663;0.002442002442002442;0.0;[168, 172, 263, 216];levels/training_857.txt
1000;7;16;0;0;0.007;0.016;0.0;[211, 195, 331, 263];levels/training_723.txt
1000;5;1;0;15;0.005;0.001;0.0;[423, 196, 197, 184];levels/training_1_30.txt
1000;6;12;0;0;0.006;0.012;0.0;[169, 211, 399, 221];levels/training_631.txt
1000;6;25;0;0;0.006;0.025;0.0;[200, 189, 328, 283];levels/training_398.txt
1000;4;11;0;0;0.004;0.011;0.0;[179, 192, 389, 240];levels/training_482.txt
518;3;23;1;110;0.005791505791505791;0.0444015444015444;0.0019305019305019305;[110, 103, 213, 92];levels/training_171.txt
482;3;21;0;0;0.006224066390041493;0.043568464730290454;0.0;[100, 74, 181, 127];levels/training_282.txt
1000;4;54;0;0;0.004;0.054;0.0;[190, 200, 393, 217];levels/training_326.txt
1000;3;28;0;0;0.003;0.028;0.0;[189, 194, 423, 194];levels/training_491.txt
1000;2;35;0;0;0.002;0.035;0.0;[203, 188, 423, 186];levels/training_232.txt
1000;15;8;0;15;0.015;0.008;0.0;[173, 183, 364, 280];levels/training_197.txt
1000;8;16;0;0;0.008;0.016;0.0;[180, 189, 423, 208];levels/training_1_12.txt
1000;3;23;0;0;0.003;0.023;0.0;[194, 185, 431, 190];levels/training_46.txt
1000;8;21;0;5;0.008;0.021;0.0;[195, 188, 438, 179];levels/training_319.txt
1000;10;21;0;0;0.01;0.021;0.0;[195, 179, 419, 207];levels/training_580.txt
1000;7;16;0;0;0.007;0.016;0.0;[178, 186, 431, 205];levels/training_364.txt
1000;7;5;0;0;0.007;0.005;0.0;[206, 188, 358, 248];levels/training_448.txt
1000;5;16;0;0;0.005;0.016;0.0;[189, 177, 382, 252];levels/training_337.txt
1000;6;7;0;0;0.006;0.007;0.0;[190, 177, 292, 341];levels/training_662.txt
1000;4;12;0;0;0.004;0.012;0.0;[203, 173, 328, 296];levels/training_137.txt
1000;6;19;0;0;0.006;0.019;0.0;[158, 189, 343, 310];levels/training_501.txt
663;5;7;1;115;0.007541478129713424;0.010558069381598794;0.0015082956259426848;[129, 124, 254, 156];levels/training_808.txt
337;2;13;0;0;0.005934718100890208;0.03857566765578635;0.0;[55, 63, 140, 79];levels/training_743.txt
1000;8;23;0;0;0.008;0.023;0.0;[192, 179, 385, 244];levels/training_1_3.txt
1000;9;11;0;0;0.009;0.011;0.0;[179, 182, 422, 217];levels/training_589.txt
239;8;1;1;130;0.03347280334728033;0.0041841004184100415;0.0041841004184100415;[37, 44, 103, 55];levels/training_355.txt
761;1;34;0;0;0.001314060446780552;0.04467805519053877;0.0;[151, 130, 336, 144];levels/training_1_18.txt
1000;9;11;0;0;0.009;0.011;0.0;[174, 186, 396, 244];levels/training_978.txt
1000;2;37;0;0;0.002;0.037;0.0;[184, 186, 425, 205];levels/training_170.txt
362;11;5;1;135;0.03038674033149171;0.013812154696132596;0.0027624309392265192;[69, 66, 152, 75];levels/training_866.txt
638;7;8;0;0;0.0109717868338558;0.012539184952978056;0.0;[123, 125, 282, 108];levels/training_723.txt
161;4;0;1;120;0.024844720496894408;0.0;0.006211180124223602;[32, 30, 70, 29];levels/training_301.txt
448;8;2;1;120;0.017857142857142856;0.004464285714285714;0.002232142857142857;[75, 97, 196, 80];levels/training_845.txt
391;2;14;0;0;0.005115089514066497;0.03580562659846547;0.0;[82, 64, 170, 75];levels/training_562.txt
330;3;10;1;115;0.00909090909090909;0.030303030303030304;0.0030303030303030303;[50, 51, 153, 76];levels/training_945.txt
558;9;8;1;130;0.016129032258064516;0.014336917562724014;0.0017921146953405018;[111, 93, 229, 125];levels/training_347.txt
112;2;5;0;0;0.017857142857142856;0.044642857142857144;0.0;[23, 26, 42, 21];levels/training_282.txt
1000;1;15;0;0;0.001;0.015;0.0;[164, 173, 453, 210];levels/training_250.txt
1000;7;20;0;0;0.007;0.02;0.0;[191, 179, 431, 199];levels/training_1_12.txt
1000;6;9;0;0;0.006;0.009;0.0;[189, 155, 462, 194];levels/training_438.txt
1000;5;22;0;0;0.005;0.022;0.0;[178, 172, 450, 200];levels/training_426.txt
1000;9;20;0;0;0.009;0.02;0.0;[202, 172, 401, 225];levels/training_193.txt
1000;5;31;0;0;0.005;0.031;0.0;[203, 164, 373, 260];levels/training_47.txt
217;2;1;1;110;0.009216589861751152;0.004608294930875576;0.004608294930875576;[29, 40, 91, 57];levels/training_289.txt
783;6;9;0;0;0.007662835249042145;0.011494252873563218;0.0;[148, 137, 336, 162];levels/training_26.txt
1000;12;14;0;0;0.012;0.014;0.0;[184, 190, 388, 238];levels/training_1_34.txt
1000;6;8;0;0;0.006;0.008;0.0;[172, 175, 459, 194];levels/training_1_23.txt
1000;4;31;0;0;0.004;0.031;0.0;[195, 158, 468, 179];levels/training_1_61.txt
211;6;0;1;130;0.02843601895734597;0.0;0.004739336492890996;[41, 45, 98, 27];levels/training_184.txt
789;2;11;0;0;0.0025348542458808617;0.01394169835234474;0.0;[153, 156, 301, 179];levels/training_233.txt
1000;11;9;0;15;0.011;0.009;0.0;[194, 147, 433, 226];levels/training_165.txt
965;9;9;1;105;0.00932642487046632;0.00932642487046632;0.0010362694300518134;[158, 160, 420, 227];levels/training_737.txt
35;1;2;0;5;0.02857142857142857;0.05714285714285714;0.0;[8, 6, 15, 6];levels/training_385.txt
1000;8;13;0;0;0.008;0.013;0.0;[184, 163, 466, 187];levels/training_70.txt
1000;2;15;0;0;0.002;0.015;0.0;[173, 182, 356, 289];levels/training_1_33.txt
1000;8;12;0;0;0.008;0.012;0.0;[167, 165, 437, 231];levels/training_743.txt
726;7;22;1;100;0.009641873278236915;0.030303030303030304;0.0013774104683195593;[126, 100, 324, 176];levels/training_610.txt
274;4;3;0;5;0.014598540145985401;0.010948905109489052;0.0;[51, 45, 73, 105];levels/training_1_53.txt
914;6;22;1;110;0.006564551422319475;0.024070021881838075;0.0010940919037199124;[160, 142, 380, 232];levels/training_22.txt
86;1;2;0;0;0.011627906976744186;0.023255813953488372;0.0;[15, 9, 45, 17];levels/training_996.txt
1000;8;14;0;0;0.008;0.014;0.0;[178, 160, 396, 266];levels/training_257.txt
1000;3;13;0;0;0.003;0.013;0.0;[152, 178, 426, 244];levels/training_653.txt
1000;5;25;0;0;0.005;0.025;0.0;[173, 170, 439, 218];levels/training_19.txt
1000;2;13;0;0;0.002;0.013;0.0;[159, 158, 410, 273];levels/training_157.txt
1000;5;15;0;0;0.005;0.015;0.0;[164, 168, 432, 236];levels/training_504.txt
1000;5;10;0;0;0.005;0.01;0.0;[170, 176, 458, 196];levels/training_652.txt
1000;6;9;0;0;0.006;0.009;0.0;[151, 191, 423, 235];levels/training_1_103.txt
1000;4;10;0;0;0.004;0.01;0.0;[179, 163, 486, 172];levels/training_476.txt
1000;7;11;0;0;0.007;0.011;0.0;[168, 167, 441, 224];levels/training_504.txt
798;9;8;1;105;0.011278195488721804;0.010025062656641603;0.0012531328320802004;[148, 129, 358, 163];levels/training_575.txt
202;4;7;0;0;0.019801980198019802;0.034653465346534656;0.0;[31, 36, 88, 47];levels/training_259.txt
1000;2;0;0;10;0.002;0.0;0.0;[173, 150, 498, 179];levels/training_160.txt
1000;14;8;0;0;0.014;0.008;0.0;[181, 176, 433, 210];levels/training_854.txt
965;9;11;1;115;0.00932642487046632;0.011398963730569948;0.0010362694300518134;[162, 160, 400, 243];levels/training_163.txt
35;1;0;0;5;0.02857142857142857;0.0;0.0;[2, 6, 21, 6];levels/training_299.txt
1000;9;10;0;0;0.009;0.01;0.0;[179, 144, 415, 262];levels/training_405.txt
1000;2;25;0;0;0.002;0.025;0.0;[170, 146, 248, 436];levels/training_1_45.txt
1000;9;8;0;0;0.009;0.008;0.0;[140, 179, 410, 271];levels/training_542.txt
1000;13;10;0;0;0.013;0.01;0.0;[193, 161, 446, 200];levels/training_597.txt
758;6;9;1;105;0.0079155672823219;0.011873350923482849;0.0013192612137203166;[125, 145, 370, 118];levels/training_815.txt
242;4;11;0;0;0.01652892561983471;0.045454545454545456;0.0;[40, 44, 113, 45];levels/training_1_66.txt
