frames since last update;coins collected;deaths;levels beaten;score gathered;coins per frame;deaths per frame;levels beaten per frame;move count (no action, left, right, jump);!world name
1000;1;2;0;0;0.001;0.002;0.0;[404, 199, 187, 210];levels_bd/training_467.txt
1000;1;7;0;0;0.001;0.007;0.0;[391, 205, 209, 195];levels_bd/training_392.txt
1000;3;0;0;15;0.003;0.0;0.0;[397, 219, 193, 191];levels_bd/training_98.txt
1000;5;7;0;5;0.005;0.007;0.0;[388, 202, 220, 190];levels_bd/training_581.txt
1000;1;3;0;0;0.001;0.003;0.0;[408, 185, 193, 214];levels_bd/training_56.txt
1000;3;0;0;15;0.003;0.0;0.0;[233, 253, 185, 329];levels_bd/training_101.txt
1000;2;6;0;0;0.002;0.006;0.0;[299, 186, 319, 196];levels_bd/training_31.txt
1000;2;0;0;10;0.002;0.0;0.0;[216, 183, 408, 193];levels_bd/training_1_173.txt
1000;4;22;0;0;0.004;0.022;0.0;[187, 324, 225, 264];levels_bd/training_360.txt
1000;4;3;0;5;0.004;0.003;0.0;[182, 234, 222, 362];levels_bd/training_637.txt
1000;4;14;0;0;0.004;0.014;0.0;[201, 212, 201, 386];levels_bd/training_496.txt
1000;2;0;0;10;0.002;0.0;0.0;[196, 182, 418, 204];levels_bd/training_1_24.txt
1000;1;0;0;5;0.001;0.0;0.0;[235, 245, 227, 293];levels_bd/training_773.txt
1000;4;0;0;20;0.004;0.0;0.0;[310, 212, 217, 261];levels_bd/training_579.txt
1000;0;96;0;0;0.0;0.096;0.0;[205, 202, 393, 200];levels_bd/training_1_6.txt
1000;1;14;0;0;0.001;0.014;0.0;[197, 196, 233, 374];levels_bd/training_406.txt
1000;0;1;0;0;0.0;0.001;0.0;[195, 398, 217, 190];levels_bd/training_153.txt
1000;4;1;0;20;0.004;0.001;0.0;[182, 216, 200, 402];levels_bd/training_648.txt
1000;1;0;0;5;0.001;0.0;0.0;[200, 175, 424, 201];levels_bd/training_1_137.txt
1000;6;2;0;15;0.006;0.002;0.0;[252, 209, 278, 261];levels_bd/training_400.txt
1000;6;20;0;0;0.006;0.02;0.0;[265, 301, 200, 234];levels_bd/training_912.txt
1000;4;0;0;20;0.004;0.0;0.0;[192, 473, 169, 166];levels_bd/training_992.txt
1000;2;6;0;0;0.002;0.006;0.0;[264, 170, 268, 298];levels_bd/training_187.txt
1000;5;1;0;15;0.005;0.001;0.0;[183, 264, 337, 216];levels_bd/training_51.txt
566;10;8;1;135;0.0176678445229682;0.014134275618374558;0.0017667844522968198;[121, 217, 96, 132];levels_bd/training_243.txt
434;2;0;0;10;0.004608294930875576;0.0;0.0;[74, 133, 98, 129];levels_bd/training_672.txt
1000;4;11;0;0;0.004;0.011;0.0;[217, 233, 349, 201];levels_bd/training_81.txt
1000;4;48;0;0;0.004;0.048;0.0;[179, 436, 178, 207];levels_bd/training_673.txt
1000;2;39;0;0;0.002;0.039;0.0;[229, 186, 404, 181];levels_bd/training_106.txt
1000;2;0;0;10;0.002;0.0;0.0;[190, 222, 201, 387];levels_bd/training_436.txt
1000;2;8;0;0;0.002;0.008;0.0;[185, 230, 176, 409];levels_bd/training_112.txt
1000;3;11;0;0;0.003;0.011;0.0;[211, 213, 336, 240];levels_bd/training_44.txt
1000;2;41;0;0;0.002;0.041;0.0;[403, 192, 188, 217];levels_bd/training_611.txt
1000;1;12;0;0;0.001;0.012;0.0;[257, 190, 263, 290];levels_bd/training_17.txt
1000;7;0;0;35;0.007;0.0;0.0;[263, 295, 241, 201];levels_bd/training_790.txt
1000;4;1;0;10;0.004;0.001;0.0;[196, 189, 203, 412];levels_bd/training_262.txt
1000;5;14;0;0;0.005;0.014;0.0;[175, 257, 205, 363];levels_bd/training_968.txt
1000;2;3;0;0;0.002;0.003;0.0;[195, 254, 222, 329];levels_bd/training_143.txt
1000;3;1;0;5;0.003;0.001;0.0;[167, 214, 366, 253];levels_bd/training_823.txt
1000;2;1;0;5;0.002;0.001;0.0;[249, 196, 218, 337];levels_bd/training_972.txt
1000;5;0;0;25;0.005;0.0;0.0;[207, 202, 192, 399];levels_bd/training_350.txt
1000;0;0;0;0;0.0;0.0;0.0;[212, 421, 174, 193];levels_bd/training_1_10.txt
1000;8;7;0;0;0.008;0.007;0.0;[208, 181, 361, 250];levels_bd/training_314.txt
1000;2;0;0;10;0.002;0.0;0.0;[195, 415, 193, 197];levels_bd/training_78.txt
1000;2;0;0;10;0.002;0.0;0.0;[200, 188, 219, 393];levels_bd/training_120.txt
1000;9;8;0;0;0.009;0.008;0.0;[159, 392, 204, 245];levels_bd/training_614.txt
1000;5;26;0;0;0.005;0.026;0.0;[177, 209, 282, 332];levels_bd/training_883.txt
1000;1;17;0;0;0.001;0.017;0.0;[165, 270, 200, 365];levels_bd/training_1_175.txt
1000;5;6;0;0;0.005;0.006;0.0;[186, 177, 245, 392];levels_bd/training_1_4.txt
1000;2;2;0;0;0.002;0.002;0.0;[189, 194, 172, 445];levels_bd/training_536.txt
1000;2;0;0;10;0.002;0.0;0.0;[187, 186, 200, 427];levels_bd/training_848.txt
1000;7;29;0;20;0.007;0.029;0.0;[168, 173, 441, 218];levels_bd/training_332.txt
1000;2;13;0;0;0.002;0.013;0.0;[177, 190, 180, 453];levels_bd/training_102.txt
1000;2;0;0;10;0.002;0.0;0.0;[179, 253, 256, 312];levels_bd/training_450.txt
1000;3;2;0;0;0.003;0.002;0.0;[171, 190, 160, 479];levels_bd/training_337.txt
1000;5;2;0;5;0.005;0.002;0.0;[191, 309, 242, 258];levels_bd/training_747.txt
1000;2;3;0;0;0.002;0.003;0.0;[216, 282, 243, 259];levels_bd/training_710.txt
1000;6;4;0;0;0.006;0.004;0.0;[172, 261, 195, 372];levels_bd/training_647.txt
1000;1;1;0;0;0.001;0.001;0.0;[168, 341, 302, 189];levels_bd/training_347.txt
1000;3;7;0;0;0.003;0.007;0.0;[183, 206, 212, 399];levels_bd/training_465.txt
1000;2;22;0;0;0.002;0.022;0.0;[173, 387, 157, 283];levels_bd/training_35.txt
1000;4;8;0;0;0.004;0.008;0.0;[176, 233, 164, 427];levels_bd/training_680.txt
1000;5;10;0;5;0.005;0.01;0.0;[206, 302, 214, 278];levels_bd/training_166.txt
1000;9;3;0;25;0.009;0.003;0.0;[174, 199, 302, 325];levels_bd/training_1_154.txt
1000;3;14;0;5;0.003;0.014;0.0;[187, 296, 216, 301];levels_bd/training_742.txt
1000;5;20;0;0;0.005;0.02;0.0;[175, 370, 165, 290];levels_bd/training_778.txt
1000;1;0;0;5;0.001;0.0;0.0;[197, 191, 183, 429];levels_bd/training_656.txt
1000;0;1;0;0;0.0;0.001;0.0;[185, 179, 408, 228];levels_bd/training_234.txt
1000;3;18;0;0;0.003;0.018;0.0;[159, 269, 180, 392];levels_bd/training_943.txt
1000;9;8;0;0;0.009;0.008;0.0;[172, 458, 155, 215];levels_bd/training_421.txt
1000;2;0;0;10;0.002;0.0;0.0;[171, 448, 186, 195];levels_bd/training_284.txt
1000;4;39;0;0;0.004;0.039;0.0;[183, 186, 394, 237];levels_bd/training_1_144.txt
1000;1;0;0;5;0.001;0.0;0.0;[179, 282, 238, 301];levels_bd/training_1_29.txt
1000;1;1;0;0;0.001;0.001;0.0;[364, 150, 336, 150];levels_bd/training_138.txt
1000;6;28;0;0;0.006;0.028;0.0;[165, 203, 400, 232];levels_bd/training_140.txt
1000;1;5;0;5;0.001;0.005;0.0;[233, 271, 216, 280];levels_bd/training_267.txt
1000;6;14;0;0;0.006;0.014;0.0;[164, 478, 172, 186];levels_bd/training_171.txt
1000;6;0;0;30;0.006;0.0;0.0;[164, 213, 195, 428];levels_bd/training_216.txt
1000;2;0;0;10;0.002;0.0;0.0;[182, 284, 271, 263];levels_bd/training_325.txt
1000;3;5;0;0;0.003;0.005;0.0;[150, 273, 182, 395];levels_bd/training_1_197.txt
1000;0;0;0;0;0.0;0.0;0.0;[172, 156, 486, 186];levels_bd/training_924.txt
1000;3;0;0;15;0.003;0.0;0.0;[182, 218, 202, 398];levels_bd/training_482.txt
570;9;4;1;120;0.015789473684210527;0.007017543859649123;0.0017543859649122807;[103, 250, 96, 121];levels_bd/training_558.txt
430;1;3;0;0;0.002325581395348837;0.0069767441860465115;0.0;[69, 138, 135, 88];levels_bd/training_228.txt
1000;4;4;0;0;0.004;0.004;0.0;[178, 157, 165, 500];levels_bd/training_597.txt
1000;5;27;0;20;0.005;0.027;0.0;[154, 170, 448, 228];levels_bd/training_320.txt
1000;1;0;0;5;0.001;0.0;0.0;[168, 460, 167, 205];levels_bd/training_497.txt
1000;6;34;0;0;0.006;0.034;0.0;[164, 460, 162, 214];levels_bd/training_998.txt
1000;14;11;0;0;0.014;0.011;0.0;[147, 500, 156, 197];levels_bd/training_701.txt
1000;0;3;0;0;0.0;0.003;0.0;[175, 139, 486, 200];levels_bd/training_398.txt
1000;8;13;0;10;0.008;0.013;0.0;[156, 451, 152, 241];levels_bd/training_979.txt
1000;1;13;0;0;0.001;0.013;0.0;[170, 173, 207, 450];levels_bd/training_151.txt
1000;0;12;0;0;0.0;0.012;0.0;[159, 268, 321, 252];levels_bd/training_242.txt
1000;3;6;0;5;0.003;0.006;0.0;[162, 377, 202, 259];levels_bd/training_368.txt
1000;8;4;0;5;0.008;0.004;0.0;[165, 230, 213, 392];levels_bd/training_154.txt
1000;2;10;0;0;0.002;0.01;0.0;[180, 216, 306, 298];levels_bd/training_883.txt
1000;6;6;0;0;0.006;0.006;0.0;[170, 303, 178, 349];levels_bd/training_647.txt
1000;2;2;0;0;0.002;0.002;0.0;[169, 169, 220, 442];levels_bd/training_397.txt
1000;0;5;0;0;0.0;0.005;0.0;[158, 154, 292, 396];levels_bd/training_798.txt
1000;7;3;0;25;0.007;0.003;0.0;[177, 248, 305, 270];levels_bd/training_130.txt
1000;6;53;0;0;0.006;0.053;0.0;[170, 170, 494, 166];levels_bd/training_600.txt
1000;5;30;0;0;0.005;0.03;0.0;[174, 306, 208, 312];levels_bd/training_588.txt
1000;8;4;0;10;0.008;0.004;0.0;[170, 332, 208, 290];levels_bd/training_888.txt
1000;4;22;0;0;0.004;0.022;0.0;[166, 175, 483, 176];levels_bd/training_945.txt
1000;4;23;0;0;0.004;0.023;0.0;[147, 474, 185, 194];levels_bd/training_843.txt
1000;1;3;0;0;0.001;0.003;0.0;[166, 216, 238, 380];levels_bd/training_1_144.txt
1000;1;14;0;0;0.001;0.014;0.0;[184, 177, 290, 349];levels_bd/training_386.txt
1000;1;1;0;0;0.001;0.001;0.0;[173, 172, 180, 475];levels_bd/training_96.txt
1000;1;11;0;0;0.001;0.011;0.0;[192, 239, 171, 398];levels_bd/training_1_116.txt
1000;6;20;0;0;0.006;0.02;0.0;[161, 494, 158, 187];levels_bd/training_778.txt
1000;7;5;0;15;0.007;0.005;0.0;[177, 204, 363, 256];levels_bd/training_1_154.txt
1000;3;1;0;5;0.003;0.001;0.0;[162, 184, 219, 435];levels_bd/training_1_34.txt
1000;6;4;0;5;0.006;0.004;0.0;[179, 371, 285, 165];levels_bd/training_760.txt
1000;3;0;0;15;0.003;0.0;0.0;[334, 228, 239, 199];levels_bd/training_728.txt
1000;3;1;0;5;0.003;0.001;0.0;[240, 252, 224, 284];levels_bd/training_381.txt
1000;2;0;0;10;0.002;0.0;0.0;[233, 346, 179, 242];levels_bd/training_271.txt
1000;8;3;0;10;0.008;0.003;0.0;[218, 379, 228, 175];levels_bd/training_443.txt
1000;7;14;0;0;0.007;0.014;0.0;[142, 203, 409, 246];levels_bd/training_768.txt
1000;9;7;0;0;0.009;0.007;0.0;[142, 492, 168, 198];levels_bd/training_216.txt
1000;5;12;0;0;0.005;0.012;0.0;[150, 507, 169, 174];levels_bd/training_1_107.txt
388;7;3;1;115;0.01804123711340206;0.007731958762886598;0.002577319587628866;[52, 197, 55, 84];levels_bd/training_440.txt
573;7;2;1;115;0.012216404886561954;0.0034904013961605585;0.0017452006980802793;[110, 223, 113, 127];levels_bd/training_558.txt
39;2;0;0;10;0.05128205128205128;0.0;0.0;[6, 7, 17, 9];levels_bd/training_475.txt
1000;5;27;0;0;0.005;0.027;0.0;[156, 412, 207, 225];levels_bd/training_604.txt
256;5;0;1;125;0.01953125;0.0;0.00390625;[40, 78, 27, 111];levels_bd/training_750.txt
744;1;8;0;0;0.0013440860215053765;0.010752688172043012;0.0;[103, 271, 114, 256];levels_bd/training_1_123.txt
1000;7;2;0;15;0.007;0.002;0.0;[179, 189, 233, 399];levels_bd/training_1_159.txt
1000;2;19;0;0;0.002;0.019;0.0;[150, 338, 205, 307];levels_bd/training_341.txt
1000;6;9;0;0;0.006;0.009;0.0;[173, 136, 484, 207];levels_bd/training_765.txt
1000;3;60;0;0;0.003;0.06;0.0;[149, 562, 146, 143];levels_bd/training_75.txt
1000;1;31;0;0;0.001;0.031;0.0;[141, 273, 314, 272];levels_bd/training_132.txt
1000;4;15;0;0;0.004;0.015;0.0;[135, 170, 518, 177];levels_bd/training_1_38.txt
1000;1;1;0;0;0.001;0.001;0.0;[153, 241, 273, 333];levels_bd/training_1_54.txt
1000;6;30;0;0;0.006;0.03;0.0;[161, 489, 183, 167];levels_bd/training_547.txt
1000;8;2;0;40;0.008;0.002;0.0;[143, 312, 348, 197];levels_bd/training_692.txt
1000;3;16;0;5;0.003;0.016;0.0;[153, 391, 183, 273];levels_bd/training_61.txt
1000;2;4;0;0;0.002;0.004;0.0;[159, 134, 157, 550];levels_bd/training_785.txt
1000;2;2;0;0;0.002;0.002;0.0;[163, 318, 337, 182];levels_bd/training_615.txt
1000;4;15;0;0;0.004;0.015;0.0;[173, 156, 256, 415];levels_bd/training_236.txt
691;9;5;1;125;0.013024602026049204;0.00723589001447178;0.001447178002894356;[103, 106, 263, 219];levels_bd/training_221.txt
83;1;0;1;105;0.012048192771084338;0.0;0.012048192771084338;[12, 47, 11, 13];levels_bd/training_295.txt
226;1;5;0;0;0.004424778761061947;0.022123893805309734;0.0;[39, 98, 33, 56];levels_bd/training_334.txt
1000;1;0;0;5;0.001;0.0;0.0;[188, 143, 421, 248];levels_bd/training_628.txt
1000;6;18;0;0;0.006;0.018;0.0;[202, 165, 436, 197];levels_bd/training_321.txt
407;6;5;1;115;0.014742014742014743;0.012285012285012284;0.002457002457002457;[56, 207, 64, 80];levels_bd/training_1_151.txt
593;3;11;0;0;0.00505902192242833;0.01854974704890388;0.0;[88, 303, 99, 103];levels_bd/training_268.txt
1000;5;27;0;0;0.005;0.027;0.0;[171, 505, 134, 190];levels_bd/training_657.txt
1000;3;28;0;0;0.003;0.028;0.0;[172, 137, 450, 241];levels_bd/training_901.txt
1000;1;31;0;0;0.001;0.031;0.0;[136, 333, 227, 304];levels_bd/training_234.txt
1000;9;12;0;0;0.009;0.012;0.0;[132, 309, 191, 368];levels_bd/training_891.txt
1000;1;8;0;0;0.001;0.008;0.0;[130, 386, 226, 258];levels_bd/training_381.txt
1000;4;0;0;20;0.004;0.0;0.0;[169, 257, 188, 386];levels_bd/training_653.txt
1000;8;18;0;0;0.008;0.018;0.0;[125, 552, 138, 185];levels_bd/training_1_175.txt
1000;7;8;0;0;0.007;0.008;0.0;[184, 154, 441, 221];levels_bd/training_745.txt
1000;2;4;0;10;0.002;0.004;0.0;[191, 433, 205, 171];levels_bd/training_763.txt
