frames since last update;coins collected;deaths;levels beaten;score gathered;coins per frame;deaths per frame;levels beaten per frame;move count (no action, left, right, jump);!world name
1000;0;14;0;0;0.0;0.014;0.0;[404, 199, 187, 210];levels_dj/training_548.txt
1000;7;4;0;0;0.007;0.004;0.0;[391, 205, 209, 195];levels_dj/training_911.txt
1000;2;5;0;0;0.002;0.005;0.0;[397, 219, 193, 191];levels_dj/training_12.txt
1000;6;13;0;0;0.006;0.013;0.0;[388, 202, 220, 190];levels_dj/training_376.txt
1000;5;5;0;0;0.005;0.005;0.0;[408, 185, 193, 214];levels_dj/training_908.txt
1000;10;9;0;30;0.01;0.009;0.0;[293, 180, 253, 274];levels_dj/training_553.txt
1000;5;31;0;0;0.005;0.031;0.0;[200, 247, 359, 194];levels_dj/training_204.txt
1000;6;2;0;10;0.006;0.002;0.0;[358, 188, 260, 194];levels_dj/training_433.txt
1000;8;6;0;25;0.008;0.006;0.0;[261, 202, 302, 235];levels_dj/training_998.txt
1000;7;2;0;15;0.007;0.002;0.0;[215, 214, 264, 307];levels_dj/training_919.txt
1000;5;7;0;0;0.005;0.007;0.0;[208, 212, 305, 275];levels_dj/training_931.txt
1000;12;14;0;10;0.012;0.014;0.0;[239, 183, 336, 242];levels_dj/training_1_30.txt
1000;16;10;0;5;0.016;0.01;0.0;[216, 176, 370, 238];levels_dj/training_786.txt
1000;5;2;0;10;0.005;0.002;0.0;[218, 204, 202, 376];levels_dj/training_121.txt
1000;7;1;0;25;0.007;0.001;0.0;[226, 208, 243, 323];levels_dj/training_936.txt
1000;5;2;0;5;0.005;0.002;0.0;[234, 223, 292, 251];levels_dj/training_1_138.txt
1000;3;0;0;15;0.003;0.0;0.0;[279, 283, 248, 190];levels_dj/training_50.txt
1000;2;0;0;10;0.002;0.0;0.0;[334, 276, 182, 208];levels_dj/training_906.txt
1000;7;5;0;0;0.007;0.005;0.0;[389, 176, 210, 225];levels_dj/training_995.txt
1000;10;10;0;20;0.01;0.01;0.0;[231, 161, 338, 270];levels_dj/training_505.txt
1000;13;11;0;0;0.013;0.011;0.0;[214, 185, 395, 206];levels_dj/training_1_64.txt
1000;5;3;0;20;0.005;0.003;0.0;[438, 220, 173, 169];levels_dj/training_1_105.txt
1000;8;43;0;25;0.008;0.043;0.0;[215, 170, 359, 256];levels_dj/training_129.txt
266;12;0;1;160;0.045112781954887216;0.0;0.0037593984962406013;[49, 49, 108, 60];levels_dj/training_36.txt
734;4;14;0;0;0.005449591280653951;0.01907356948228883;0.0;[136, 147, 304, 147];levels_dj/training_415.txt
1000;12;4;0;20;0.012;0.004;0.0;[172, 211, 368, 249];levels_dj/training_244.txt
1000;14;7;0;30;0.014;0.007;0.0;[205, 222, 356, 217];levels_dj/training_787.txt
1000;10;8;0;0;0.01;0.008;0.0;[191, 192, 400, 217];levels_dj/training_516.txt
1000;8;23;0;0;0.008;0.023;0.0;[211, 177, 395, 217];levels_dj/training_31.txt
1000;8;16;0;0;0.008;0.016;0.0;[202, 202, 352, 244];levels_dj/training_779.txt
1000;15;5;0;35;0.015;0.005;0.0;[235, 194, 333, 238];levels_dj/training_1_135.txt
1000;5;14;0;0;0.005;0.014;0.0;[259, 188, 379, 174];levels_dj/training_89.txt
1000;10;2;0;30;0.01;0.002;0.0;[332, 183, 297, 188];levels_dj/training_326.txt
1000;13;7;0;5;0.013;0.007;0.0;[228, 189, 386, 197];levels_dj/training_654.txt
1000;8;7;0;10;0.008;0.007;0.0;[257, 185, 385, 173];levels_dj/training_875.txt
1000;12;12;0;0;0.012;0.012;0.0;[251, 188, 390, 171];levels_dj/training_1_108.txt
1000;3;9;0;0;0.003;0.009;0.0;[195, 179, 180, 446];levels_dj/training_142.txt
1000;12;12;0;5;0.012;0.012;0.0;[201, 191, 406, 202];levels_dj/training_790.txt
1000;7;10;0;0;0.007;0.01;0.0;[212, 195, 328, 265];levels_dj/training_1_10.txt
1000;2;9;0;0;0.002;0.009;0.0;[189, 182, 204, 425];levels_dj/training_125.txt
1000;7;3;0;5;0.007;0.003;0.0;[280, 182, 307, 231];levels_dj/training_669.txt
1000;3;7;0;0;0.003;0.007;0.0;[218, 221, 248, 313];levels_dj/training_694.txt
865;13;7;1;125;0.015028901734104046;0.008092485549132947;0.0011560693641618498;[136, 154, 385, 190];levels_dj/training_244.txt
135;7;3;0;15;0.05185185185185185;0.022222222222222223;0.0;[22, 28, 60, 25];levels_dj/training_495.txt
609;10;8;1;100;0.016420361247947456;0.013136288998357963;0.0016420361247947454;[116, 113, 263, 117];levels_dj/training_426.txt
391;8;6;0;0;0.020460358056265986;0.015345268542199489;0.0;[66, 74, 170, 81];levels_dj/training_977.txt
