frames since last update;coins collected;deaths;levels beaten;score gathered;coins per frame;deaths per frame;levels beaten per frame;move count (no action, left, right, jump);!world name
1000;2;0;0;10;0.002;0.0;0.0;[404, 199, 187, 210];levels_randomized_gfx/training_139.txt
1000;0;4;0;0;0.0;0.004;0.0;[391, 205, 209, 195];levels_randomized_gfx/training_807.txt
1000;5;0;0;25;0.005;0.0;0.0;[397, 219, 193, 191];levels_randomized_gfx/training_144.txt
1000;1;15;0;0;0.001;0.015;0.0;[388, 202, 220, 190];levels_randomized_gfx/training_540.txt
1000;6;0;0;30;0.006;0.0;0.0;[408, 185, 193, 214];levels_randomized_gfx/training_716.txt
1000;1;40;0;0;0.001;0.04;0.0;[220, 175, 407, 198];levels_randomized_gfx/training_153.txt
396;6;2;1;110;0.015151515151515152;0.005050505050505051;0.0025252525252525255;[72, 69, 162, 93];levels_randomized_gfx/training_396.txt
604;2;20;0;0;0.0033112582781456954;0.033112582781456956;0.0;[128, 122, 250, 104];levels_randomized_gfx/training_1_31.txt
1000;5;6;0;0;0.005;0.006;0.0;[307, 183, 272, 238];levels_randomized_gfx/training_664.txt
1000;13;4;0;25;0.013;0.004;0.0;[224, 197, 374, 205];levels_randomized_gfx/training_64.txt
1000;1;35;0;0;0.001;0.035;0.0;[179, 198, 413, 210];levels_randomized_gfx/training_1_79.txt
1000;1;13;0;0;0.001;0.013;0.0;[200, 213, 371, 216];levels_randomized_gfx/training_1_153.txt
1000;0;29;0;0;0.0;0.029;0.0;[408, 182, 222, 188];levels_randomized_gfx/training_1_64.txt
1000;4;22;0;0;0.004;0.022;0.0;[197, 176, 427, 200];levels_randomized_gfx/training_1_185.txt
1000;6;11;0;0;0.006;0.011;0.0;[224, 192, 386, 198];levels_randomized_gfx/training_392.txt
1000;7;8;0;0;0.007;0.008;0.0;[223, 199, 349, 229];levels_randomized_gfx/training_332.txt
1000;0;3;0;0;0.0;0.003;0.0;[398, 192, 201, 209];levels_randomized_gfx/training_787.txt
1000;2;25;0;0;0.002;0.025;0.0;[353, 175, 282, 190];levels_randomized_gfx/training_227.txt
1000;3;35;0;0;0.003;0.035;0.0;[413, 203, 175, 209];levels_randomized_gfx/training_1_169.txt
1000;3;4;0;0;0.003;0.004;0.0;[424, 175, 200, 201];levels_randomized_gfx/training_99.txt
1000;2;2;0;0;0.002;0.002;0.0;[464, 160, 171, 205];levels_randomized_gfx/training_1_8.txt
1000;7;15;0;0;0.007;0.015;0.0;[182, 186, 288, 344];levels_randomized_gfx/training_1_94.txt
1000;4;33;0;0;0.004;0.033;0.0;[215, 203, 416, 166];levels_randomized_gfx/training_464.txt
1000;2;21;0;0;0.002;0.021;0.0;[195, 170, 344, 291];levels_randomized_gfx/training_700.txt
1000;7;2;0;15;0.007;0.002;0.0;[183, 196, 278, 343];levels_randomized_gfx/training_351.txt
1000;2;42;0;0;0.002;0.042;0.0;[173, 211, 406, 210];levels_randomized_gfx/training_931.txt
325;2;2;1;105;0.006153846153846154;0.006153846153846154;0.003076923076923077;[59, 70, 134, 62];levels_randomized_gfx/training_189.txt
675;7;2;0;15;0.01037037037037037;0.002962962962962963;0.0;[146, 121, 210, 198];levels_randomized_gfx/training_358.txt
1000;1;2;0;0;0.001;0.002;0.0;[179, 196, 178, 447];levels_randomized_gfx/training_930.txt
1000;7;6;0;0;0.007;0.006;0.0;[214, 177, 250, 359];levels_randomized_gfx/training_654.txt
1000;4;8;0;0;0.004;0.008;0.0;[191, 200, 341, 268];levels_randomized_gfx/training_18.txt
1000;5;38;0;0;0.005;0.038;0.0;[195, 194, 401, 210];levels_randomized_gfx/training_252.txt
1000;5;3;0;5;0.005;0.003;0.0;[202, 191, 332, 275];levels_randomized_gfx/training_235.txt
833;9;6;1;135;0.010804321728691477;0.007202881152460984;0.0012004801920768306;[149, 150, 231, 303];levels_randomized_gfx/training_852.txt
167;1;0;0;5;0.005988023952095809;0.0;0.0;[64, 34, 34, 35];levels_randomized_gfx/training_811.txt
1000;2;5;0;0;0.002;0.005;0.0;[180, 189, 252, 379];levels_randomized_gfx/training_960.txt
1000;4;36;0;0;0.004;0.036;0.0;[194, 185, 304, 317];levels_randomized_gfx/training_213.txt
1000;6;4;0;0;0.006;0.004;0.0;[195, 188, 246, 371];levels_randomized_gfx/training_711.txt
1000;4;6;0;0;0.004;0.006;0.0;[195, 179, 244, 382];levels_randomized_gfx/training_602.txt
1000;5;14;0;0;0.005;0.014;0.0;[177, 187, 382, 254];levels_randomized_gfx/training_1_32.txt
1000;3;1;0;5;0.003;0.001;0.0;[204, 188, 193, 415];levels_randomized_gfx/training_107.txt
1000;3;24;0;0;0.003;0.024;0.0;[192, 192, 342, 274];levels_randomized_gfx/training_132.txt
1000;3;25;0;0;0.003;0.025;0.0;[190, 177, 398, 235];levels_randomized_gfx/training_482.txt
1000;2;18;0;0;0.002;0.018;0.0;[202, 173, 208, 417];levels_randomized_gfx/training_382.txt
1000;5;3;0;10;0.005;0.003;0.0;[157, 181, 238, 424];levels_randomized_gfx/training_505.txt
1000;4;1;0;10;0.004;0.001;0.0;[182, 187, 209, 422];levels_randomized_gfx/training_505.txt
1000;12;4;0;20;0.012;0.004;0.0;[191, 176, 237, 396];levels_randomized_gfx/training_310.txt
658;13;9;1;115;0.019756838905775075;0.013677811550151976;0.001519756838905775;[119, 120, 304, 115];levels_randomized_gfx/training_938.txt
342;0;0;0;0;0.0;0.0;0.0;[61, 62, 63, 156];levels_randomized_gfx/training_928.txt
1000;5;10;0;0;0.005;0.01;0.0;[196, 174, 423, 207];levels_randomized_gfx/training_505.txt
1000;4;42;0;0;0.004;0.042;0.0;[165, 186, 385, 264];levels_randomized_gfx/training_1_165.txt
1000;1;11;0;0;0.001;0.011;0.0;[187, 186, 350, 277];levels_randomized_gfx/training_329.txt
1000;5;3;0;0;0.005;0.003;0.0;[381, 184, 240, 195];levels_randomized_gfx/training_434.txt
1000;1;22;0;0;0.001;0.022;0.0;[187, 191, 251, 371];levels_randomized_gfx/training_335.txt
1000;5;11;0;0;0.005;0.011;0.0;[194, 165, 397, 244];levels_randomized_gfx/training_504.txt
