frames since last update;coins collected;deaths;levels beaten;score gathered;coins per frame;deaths per frame;levels beaten per frame;move count (no action, left, right, jump);!world name
1000;0;1;0;0;0.0;0.001;0.0;[404, 199, 187, 210];levels/training_975.txt
1000;5;4;0;5;0.005;0.004;0.0;[391, 205, 209, 195];levels/training_1_183.txt
1000;4;13;0;0;0.004;0.013;0.0;[397, 219, 193, 191];levels/training_430.txt
1000;4;2;0;0;0.004;0.002;0.0;[388, 202, 220, 190];levels/training_1_128.txt
1000;1;10;0;0;0.001;0.01;0.0;[408, 185, 193, 214];levels/training_563.txt
1000;4;1;0;10;0.004;0.001;0.0;[220, 267, 222, 291];levels/training_1_147.txt
1000;3;11;0;0;0.003;0.011;0.0;[200, 389, 213, 198];levels/training_357.txt
1000;0;20;0;0;0.0;0.02;0.0;[216, 277, 247, 260];levels/training_1_25.txt
1000;0;12;0;0;0.0;0.012;0.0;[183, 297, 321, 199];levels/training_595.txt
1000;1;13;0;0;0.001;0.013;0.0;[180, 410, 198, 212];levels/training_777.txt
1000;6;9;0;0;0.006;0.009;0.0;[244, 212, 204, 340];levels/training_372.txt
1000;5;6;0;0;0.005;0.006;0.0;[262, 182, 224, 332];levels/training_802.txt
1000;2;5;0;0;0.002;0.005;0.0;[233, 178, 211, 378];levels/training_163.txt
1000;1;2;0;0;0.001;0.002;0.0;[319, 192, 179, 310];levels/training_718.txt
1000;3;4;0;0;0.003;0.004;0.0;[205, 199, 193, 403];levels/training_347.txt
1000;0;2;0;0;0.0;0.002;0.0;[169, 234, 196, 401];levels/training_313.txt
1000;3;1;0;5;0.003;0.001;0.0;[195, 197, 217, 391];levels/training_555.txt
1000;2;0;0;10;0.002;0.0;0.0;[181, 223, 179, 417];levels/training_1_0.txt
1000;3;4;0;0;0.003;0.004;0.0;[203, 212, 197, 388];levels/training_1.txt
1000;7;2;0;15;0.007;0.002;0.0;[231, 175, 182, 412];levels/training_41.txt
1000;1;0;0;5;0.001;0.0;0.0;[261, 244, 234, 261];levels/training_870.txt
