frames since last update;coins collected;deaths;levels beaten;score gathered;coins per frame;deaths per frame;levels beaten per frame;move count (no action, left, right, jump);!world name
1000;3;12;0;0;0.003;0.012;0.0;[404, 199, 187, 210];levels_bd/training_1_37.txt
1000;1;4;0;0;0.001;0.004;0.0;[391, 205, 209, 195];levels_bd/training_809.txt
1000;2;13;0;0;0.002;0.013;0.0;[397, 219, 193, 191];levels_bd/training_1_141.txt
1000;4;6;0;0;0.004;0.006;0.0;[388, 202, 220, 190];levels_bd/training_192.txt
1000;4;2;0;10;0.004;0.002;0.0;[408, 185, 193, 214];levels_bd/training_560.txt
1000;1;5;0;0;0.001;0.005;0.0;[229, 175, 207, 389];levels_bd/training_298.txt
1000;4;1;0;10;0.004;0.001;0.0;[259, 212, 236, 293];levels_bd/training_899.txt
1000;4;3;0;15;0.004;0.003;0.0;[225, 245, 217, 313];levels_bd/training_956.txt
1000;3;41;0;0;0.003;0.041;0.0;[378, 197, 226, 199];levels_bd/training_1_79.txt
1000;2;1;0;0;0.002;0.001;0.0;[404, 198, 188, 210];levels_bd/training_442.txt
1000;5;28;0;0;0.005;0.028;0.0;[328, 242, 216, 214];levels_bd/training_363.txt
1000;3;2;0;0;0.003;0.002;0.0;[195, 182, 215, 408];levels_bd/training_1_91.txt
1000;6;4;0;0;0.006;0.004;0.0;[255, 181, 242, 322];levels_bd/training_378.txt
1000;1;2;0;0;0.001;0.002;0.0;[206, 195, 188, 411];levels_bd/training_347.txt
1000;3;7;0;0;0.003;0.007;0.0;[277, 205, 201, 317];levels_bd/training_984.txt
1000;5;12;0;0;0.005;0.012;0.0;[320, 196, 196, 288];levels_bd/training_609.txt
1000;2;17;0;0;0.002;0.017;0.0;[358, 218, 234, 190];levels_bd/training_815.txt
1000;2;7;0;0;0.002;0.007;0.0;[215, 214, 196, 375];levels_bd/training_768.txt
1000;9;1;0;35;0.009;0.001;0.0;[208, 299, 255, 238];levels_bd/training_1_137.txt
1000;1;9;0;0;0.001;0.009;0.0;[240, 175, 280, 305];levels_bd/training_712.txt
1000;4;24;0;0;0.004;0.024;0.0;[338, 185, 200, 277];levels_bd/training_659.txt
1000;1;2;0;0;0.001;0.002;0.0;[210, 228, 210, 352];levels_bd/training_838.txt
1000;8;1;0;30;0.008;0.001;0.0;[210, 183, 211, 396];levels_bd/training_26.txt
1000;1;0;0;5;0.001;0.0;0.0;[196, 196, 413, 195];levels_bd/training_967.txt
1000;3;32;0;0;0.003;0.032;0.0;[232, 211, 180, 377];levels_bd/training_880.txt
1000;3;7;0;0;0.003;0.007;0.0;[224, 189, 174, 413];levels_bd/training_288.txt
1000;5;0;0;25;0.005;0.0;0.0;[199, 192, 205, 404];levels_bd/training_131.txt
1000;3;57;0;0;0.003;0.057;0.0;[298, 177, 327, 198];levels_bd/training_1_57.txt
1000;2;0;0;10;0.002;0.0;0.0;[190, 201, 407, 202];levels_bd/training_367.txt
1000;4;18;0;0;0.004;0.018;0.0;[210, 199, 371, 220];levels_bd/training_938.txt
