frames since last update;coins collected;deaths;levels beaten;score gathered;coins per frame;deaths per frame;levels beaten per frame;move count (no action, left, right, jump);!world name
1000;7;3;0;10;0.007;0.003;0.0;[404, 199, 187, 210];levels_dj/training_332.txt
1000;7;0;0;35;0.007;0.0;0.0;[391, 205, 209, 195];levels_dj/training_161.txt
1000;5;2;0;5;0.005;0.002;0.0;[397, 219, 193, 191];levels_dj/training_742.txt
1000;2;29;0;0;0.002;0.029;0.0;[388, 202, 220, 190];levels_dj/training_1_30.txt
1000;0;7;0;0;0.0;0.007;0.0;[408, 185, 193, 214];levels_dj/training_900.txt
1000;4;0;0;20;0.004;0.0;0.0;[415, 200, 185, 200];levels_dj/training_952.txt
1000;2;18;0;0;0.002;0.018;0.0;[325, 189, 208, 278];levels_dj/training_562.txt
1000;3;3;0;0;0.003;0.003;0.0;[254, 183, 219, 344];levels_dj/training_166.txt
1000;10;8;0;0;0.01;0.008;0.0;[294, 200, 247, 259];levels_dj/training_529.txt
1000;5;9;0;0;0.005;0.009;0.0;[202, 206, 351, 241];levels_dj/training_889.txt
1000;6;12;0;0;0.006;0.012;0.0;[178, 227, 206, 389];levels_dj/training_1_190.txt
1000;9;4;0;10;0.009;0.004;0.0;[195, 182, 215, 408];levels_dj/training_304.txt
1000;6;12;0;0;0.006;0.012;0.0;[193, 176, 210, 421];levels_dj/training_567.txt
1000;6;2;0;10;0.006;0.002;0.0;[356, 211, 236, 197];levels_dj/training_481.txt
1000;0;0;0;0;0.0;0.0;0.0;[205, 323, 194, 278];levels_dj/training_160.txt
1000;3;0;0;15;0.003;0.0;0.0;[404, 192, 195, 209];levels_dj/training_833.txt
1000;1;9;0;0;0.001;0.009;0.0;[377, 180, 228, 215];levels_dj/training_159.txt
1000;5;1;0;15;0.005;0.001;0.0;[182, 203, 182, 433];levels_dj/training_439.txt
1000;5;8;0;0;0.005;0.008;0.0;[211, 179, 265, 345];levels_dj/training_447.txt
1000;9;13;0;0;0.009;0.013;0.0;[223, 170, 177, 430];levels_dj/training_691.txt
1000;5;28;0;0;0.005;0.028;0.0;[178, 204, 416, 202];levels_dj/training_957.txt
1000;4;0;0;20;0.004;0.0;0.0;[192, 222, 169, 417];levels_dj/training_667.txt
1000;4;0;0;20;0.004;0.0;0.0;[222, 194, 218, 366];levels_dj/training_587.txt
1000;5;1;0;15;0.005;0.001;0.0;[219, 204, 293, 284];levels_dj/training_552.txt
1000;5;26;0;0;0.005;0.026;0.0;[252, 214, 180, 354];levels_dj/training_75.txt
1000;5;1;0;15;0.005;0.001;0.0;[204, 200, 229, 367];levels_dj/training_301.txt
1000;6;1;0;20;0.006;0.001;0.0;[262, 254, 257, 227];levels_dj/training_602.txt
1000;1;0;0;5;0.001;0.0;0.0;[211, 258, 239, 292];levels_dj/training_1_196.txt
1000;2;9;0;0;0.002;0.009;0.0;[204, 214, 176, 406];levels_dj/training_540.txt
1000;1;11;0;0;0.001;0.011;0.0;[286, 256, 178, 280];levels_dj/training_635.txt
1000;6;1;0;20;0.006;0.001;0.0;[399, 193, 233, 175];levels_dj/training_1_71.txt
1000;2;7;0;0;0.002;0.007;0.0;[340, 262, 210, 188];levels_dj/training_1_73.txt
1000;8;10;0;0;0.008;0.01;0.0;[186, 280, 295, 239];levels_dj/training_164.txt
1000;8;1;0;30;0.008;0.001;0.0;[202, 212, 207, 379];levels_dj/training_997.txt
1000;2;0;0;10;0.002;0.0;0.0;[351, 282, 196, 171];levels_dj/training_296.txt
1000;2;0;0;10;0.002;0.0;0.0;[195, 412, 180, 213];levels_dj/training_535.txt
1000;3;10;0;0;0.003;0.01;0.0;[218, 257, 287, 238];levels_dj/training_1_119.txt
1000;4;3;0;0;0.004;0.003;0.0;[247, 217, 234, 302];levels_dj/training_59.txt
1000;3;10;0;0;0.003;0.01;0.0;[200, 269, 335, 196];levels_dj/training_230.txt
1000;6;29;0;0;0.006;0.029;0.0;[271, 193, 186, 350];levels_dj/training_972.txt
1000;4;5;0;0;0.004;0.005;0.0;[343, 203, 239, 215];levels_dj/training_957.txt
1000;5;1;0;15;0.005;0.001;0.0;[186, 280, 208, 326];levels_dj/training_164.txt
1000;3;1;0;5;0.003;0.001;0.0;[407, 216, 190, 187];levels_dj/training_1_67.txt
1000;8;4;0;0;0.008;0.004;0.0;[187, 228, 257, 328];levels_dj/training_474.txt
1000;8;4;0;0;0.008;0.004;0.0;[186, 230, 357, 227];levels_dj/training_330.txt
1000;1;0;0;5;0.001;0.0;0.0;[210, 451, 163, 176];levels_dj/training_771.txt
1000;12;1;0;50;0.012;0.001;0.0;[398, 189, 216, 197];levels_dj/training_711.txt
1000;2;16;0;0;0.002;0.016;0.0;[455, 160, 191, 194];levels_dj/training_171.txt
1000;6;8;0;0;0.006;0.008;0.0;[302, 201, 246, 251];levels_dj/training_1_39.txt
1000;3;0;0;15;0.003;0.0;0.0;[388, 236, 202, 174];levels_dj/training_9.txt
1000;6;0;0;30;0.006;0.0;0.0;[373, 213, 164, 250];levels_dj/training_74.txt
1000;2;0;0;10;0.002;0.0;0.0;[254, 338, 196, 212];levels_dj/training_723.txt
1000;11;8;0;30;0.011;0.008;0.0;[199, 217, 279, 305];levels_dj/training_825.txt
1000;3;12;0;0;0.003;0.012;0.0;[265, 208, 170, 357];levels_dj/training_403.txt
1000;11;23;0;0;0.011;0.023;0.0;[246, 196, 343, 215];levels_dj/training_945.txt
1000;4;4;0;0;0.004;0.004;0.0;[163, 260, 187, 390];levels_dj/training_507.txt
1000;9;30;0;0;0.009;0.03;0.0;[187, 366, 180, 267];levels_dj/training_265.txt
1000;3;16;0;0;0.003;0.016;0.0;[203, 379, 170, 248];levels_dj/training_32.txt
1000;0;1;0;0;0.0;0.001;0.0;[385, 235, 162, 218];levels_dj/training_1_52.txt
1000;8;2;0;20;0.008;0.002;0.0;[418, 188, 163, 231];levels_dj/training_328.txt
