frames since last update;coins collected;deaths;levels beaten;score gathered;coins per frame;deaths per frame;levels beaten per frame;move count (no action, left, right, jump);!world name
1000;2;33;0;0;0.002;0.033;0.0;[404, 199, 187, 210];levels_randomized_gfx/training_267.txt
1000;1;1;0;5;0.001;0.001;0.0;[391, 205, 209, 195];levels_randomized_gfx/training_326.txt
1000;3;1;0;5;0.003;0.001;0.0;[397, 219, 193, 191];levels_randomized_gfx/training_812.txt
1000;5;1;0;15;0.005;0.001;0.0;[388, 202, 220, 190];levels_randomized_gfx/training_1_101.txt
1000;8;1;0;30;0.008;0.001;0.0;[408, 185, 193, 214];levels_randomized_gfx/training_905.txt
1000;6;4;0;0;0.006;0.004;0.0;[357, 181, 226, 236];levels_randomized_gfx/training_771.txt
1000;1;43;0;0;0.001;0.043;0.0;[233, 186, 249, 332];levels_randomized_gfx/training_760.txt
1000;5;1;0;15;0.005;0.001;0.0;[216, 184, 211, 389];levels_randomized_gfx/training_1_13.txt
1000;4;5;0;0;0.004;0.005;0.0;[373, 199, 225, 203];levels_randomized_gfx/training_831.txt
1000;2;7;0;0;0.002;0.007;0.0;[401, 198, 188, 213];levels_randomized_gfx/training_658.txt
1000;3;33;0;0;0.003;0.033;0.0;[180, 234, 342, 244];levels_randomized_gfx/training_690.txt
1000;1;33;0;0;0.001;0.033;0.0;[339, 182, 215, 264];levels_randomized_gfx/training_1_46.txt
1000;7;1;0;25;0.007;0.001;0.0;[222, 240, 293, 245];levels_randomized_gfx/training_281.txt
1000;2;4;0;0;0.002;0.004;0.0;[288, 195, 324, 193];levels_randomized_gfx/training_1_60.txt
1000;7;0;0;35;0.007;0.0;0.0;[261, 199, 201, 339];levels_randomized_gfx/training_140.txt
1000;4;7;0;0;0.004;0.007;0.0;[171, 416, 195, 218];levels_randomized_gfx/training_316.txt
1000;1;0;0;5;0.001;0.0;0.0;[386, 203, 217, 194];levels_randomized_gfx/training_1_6.txt
1000;4;0;0;20;0.004;0.0;0.0;[352, 206, 175, 267];levels_randomized_gfx/training_916.txt
1000;3;3;0;0;0.003;0.003;0.0;[210, 254, 214, 322];levels_randomized_gfx/training_597.txt
1000;4;0;0;20;0.004;0.0;0.0;[291, 183, 177, 349];levels_randomized_gfx/training_80.txt
1000;0;0;0;0;0.0;0.0;0.0;[228, 313, 258, 201];levels_randomized_gfx/training_399.txt
1000;4;0;0;20;0.004;0.0;0.0;[234, 208, 180, 378];levels_randomized_gfx/training_476.txt
1000;3;44;0;0;0.003;0.044;0.0;[202, 413, 206, 179];levels_randomized_gfx/training_103.txt
1000;4;2;0;0;0.004;0.002;0.0;[184, 196, 181, 439];levels_randomized_gfx/training_1_136.txt
1000;2;11;0;0;0.002;0.011;0.0;[421, 211, 179, 189];levels_randomized_gfx/training_784.txt
1000;3;3;0;0;0.003;0.003;0.0;[434, 189, 173, 204];levels_randomized_gfx/training_923.txt
1000;2;35;0;0;0.002;0.035;0.0;[356, 203, 228, 213];levels_randomized_gfx/training_822.txt
1000;1;12;0;0;0.001;0.012;0.0;[225, 193, 182, 400];levels_randomized_gfx/training_897.txt
1000;1;0;0;5;0.001;0.0;0.0;[360, 275, 164, 201];levels_randomized_gfx/training_1_180.txt
1000;0;0;0;0;0.0;0.0;0.0;[396, 219, 203, 182];levels_randomized_gfx/training_195.txt
1000;4;16;0;0;0.004;0.016;0.0;[402, 213, 208, 177];levels_randomized_gfx/training_1_195.txt
