frames since last update;coins collected;deaths;levels beaten;score gathered;coins per frame;deaths per frame;levels beaten per frame;move count (no action, left, right, jump);!world name
1000;3;33;0;0;0.003;0.033;0.0;[239, 234, 268, 259];levels/training_670.txt
1000;2;7;0;0;0.002;0.007;0.0;[233, 264, 243, 260];levels/training_579.txt
1000;1;2;0;0;0.001;0.002;0.0;[263, 239, 249, 249];levels/training_729.txt
1000;4;8;0;0;0.004;0.008;0.0;[247, 248, 263, 242];levels/training_1_51.txt
1000;2;5;0;0;0.002;0.005;0.0;[264, 264, 250, 222];levels/training_1_55.txt
1000;4;0;0;20;0.004;0.0;0.0;[243, 261, 250, 246];levels/training_775.txt
1000;2;4;0;0;0.002;0.004;0.0;[263, 238, 260, 239];levels/training_54.txt
1000;3;4;0;0;0.003;0.004;0.0;[258, 237, 263, 242];levels/training_816.txt
1000;4;29;0;0;0.004;0.029;0.0;[261, 246, 252, 241];levels/training_333.txt
1000;4;2;0;0;0.004;0.002;0.0;[250, 258, 245, 247];levels/training_836.txt
1000;5;1;0;15;0.005;0.001;0.0;[249, 252, 247, 252];levels/training_1_119.txt
1000;0;22;0;0;0.0;0.022;0.0;[246, 230, 283, 241];levels/training_847.txt
1000;0;0;0;0;0.0;0.0;0.0;[274, 248, 235, 243];levels/training_612.txt
1000;5;8;0;0;0.005;0.008;0.0;[233, 256, 256, 255];levels/training_791.txt
1000;2;3;0;10;0.002;0.003;0.0;[259, 236, 232, 273];levels/training_1_27.txt
1000;3;3;0;0;0.003;0.003;0.0;[253, 257, 219, 271];levels/training_271.txt
1000;6;10;0;0;0.006;0.01;0.0;[257, 236, 273, 234];levels/training_977.txt
1000;2;6;0;0;0.002;0.006;0.0;[277, 227, 266, 230];levels/training_150.txt
1000;1;7;0;0;0.001;0.007;0.0;[244, 232, 268, 256];levels/training_81.txt
1000;5;2;0;5;0.005;0.002;0.0;[245, 247, 267, 241];levels/training_1_63.txt
1000;0;7;0;0;0.0;0.007;0.0;[253, 254, 241, 252];levels/training_379.txt
1000;4;0;0;20;0.004;0.0;0.0;[260, 260, 232, 248];levels/training_935.txt
1000;1;1;0;0;0.001;0.001;0.0;[250, 249, 240, 261];levels/training_359.txt
1000;3;16;0;0;0.003;0.016;0.0;[247, 255, 263, 235];levels/training_560.txt
1000;5;2;0;10;0.005;0.002;0.0;[260, 241, 246, 253];levels/training_42.txt
1000;4;13;0;0;0.004;0.013;0.0;[261, 259, 233, 247];levels/training_955.txt
1000;6;0;0;30;0.006;0.0;0.0;[249, 232, 253, 266];levels/training_542.txt
1000;2;0;0;10;0.002;0.0;0.0;[223, 243, 238, 296];levels/training_805.txt
1000;2;5;0;0;0.002;0.005;0.0;[234, 246, 273, 247];levels/training_1_61.txt
1000;7;0;0;35;0.007;0.0;0.0;[249, 257, 250, 244];levels/training_748.txt
1000;6;1;0;20;0.006;0.001;0.0;[226, 225, 271, 278];levels/training_382.txt
1000;1;8;0;0;0.001;0.008;0.0;[260, 253, 242, 245];levels/training_1_157.txt
1000;2;11;0;0;0.002;0.011;0.0;[234, 254, 245, 267];levels/training_67.txt
1000;3;31;0;0;0.003;0.031;0.0;[262, 263, 247, 228];levels/training_835.txt
1000;1;43;0;0;0.001;0.043;0.0;[220, 245, 288, 247];levels/training_1_5.txt
1000;5;6;0;0;0.005;0.006;0.0;[259, 254, 242, 245];levels/training_94.txt
1000;4;8;0;0;0.004;0.008;0.0;[265, 227, 252, 256];levels/training_118.txt
1000;4;34;0;0;0.004;0.034;0.0;[239, 251, 236, 274];levels/training_679.txt
1000;2;5;0;0;0.002;0.005;0.0;[250, 244, 246, 260];levels/training_565.txt
1000;1;6;0;0;0.001;0.006;0.0;[260, 233, 248, 259];levels/training_24.txt
1000;3;2;0;0;0.003;0.002;0.0;[270, 215, 248, 267];levels/training_909.txt
1000;2;3;0;0;0.002;0.003;0.0;[262, 239, 262, 237];levels/training_546.txt
1000;7;3;0;15;0.007;0.003;0.0;[267, 239, 261, 233];levels/training_777.txt
1000;3;7;0;10;0.003;0.007;0.0;[267, 256, 251, 226];levels/training_506.txt
1000;3;2;0;0;0.003;0.002;0.0;[240, 247, 255, 258];levels/training_550.txt
1000;4;1;0;10;0.004;0.001;0.0;[264, 248, 255, 233];levels/training_652.txt
1000;6;0;0;30;0.006;0.0;0.0;[257, 235, 255, 253];levels/training_31.txt
1000;2;2;0;0;0.002;0.002;0.0;[238, 255, 250, 257];levels/training_831.txt
1000;6;5;0;15;0.006;0.005;0.0;[240, 238, 267, 255];levels/training_940.txt
1000;9;0;0;45;0.009;0.0;0.0;[262, 258, 252, 228];levels/training_420.txt
1000;2;4;0;0;0.002;0.004;0.0;[268, 264, 249, 219];levels/training_194.txt
1000;2;0;0;10;0.002;0.0;0.0;[246, 278, 235, 241];levels/training_56.txt
1000;3;5;0;0;0.003;0.005;0.0;[239, 246, 265, 250];levels/training_1_81.txt
1000;0;8;0;0;0.0;0.008;0.0;[227, 244, 265, 264];levels/training_706.txt
1000;4;3;0;0;0.004;0.003;0.0;[272, 233, 231, 264];levels/training_7.txt
1000;6;2;0;10;0.006;0.002;0.0;[256, 252, 253, 239];levels/training_1_163.txt
1000;0;10;0;0;0.0;0.01;0.0;[264, 229, 255, 252];levels/training_209.txt
1000;2;25;0;0;0.002;0.025;0.0;[246, 248, 248, 258];levels/training_1_106.txt
1000;1;15;0;0;0.001;0.015;0.0;[275, 253, 240, 232];levels/training_145.txt
1000;3;1;0;5;0.003;0.001;0.0;[254, 256, 247, 243];levels/training_613.txt
1000;1;4;0;0;0.001;0.004;0.0;[253, 256, 242, 249];levels/training_140.txt
1000;3;3;0;0;0.003;0.003;0.0;[271, 226, 244, 259];levels/training_128.txt
1000;3;0;0;15;0.003;0.0;0.0;[256, 230, 267, 247];levels/training_55.txt
1000;1;28;0;0;0.001;0.028;0.0;[248, 248, 237, 267];levels/training_456.txt
1000;3;1;0;5;0.003;0.001;0.0;[248, 256, 239, 257];levels/training_16.txt
1000;3;3;0;0;0.003;0.003;0.0;[260, 238, 232, 270];levels/training_827.txt
1000;4;36;0;0;0.004;0.036;0.0;[239, 257, 243, 261];levels/training_710.txt
1000;2;15;0;0;0.002;0.015;0.0;[270, 239, 230, 261];levels/training_1_177.txt
1000;7;5;0;0;0.007;0.005;0.0;[233, 255, 265, 247];levels/training_440.txt
1000;1;9;0;0;0.001;0.009;0.0;[250, 256, 251, 243];levels/training_903.txt
1000;5;35;0;0;0.005;0.035;0.0;[227, 247, 239, 287];levels/training_588.txt
1000;3;23;0;0;0.003;0.023;0.0;[254, 238, 260, 248];levels/training_360.txt
1000;4;21;0;0;0.004;0.021;0.0;[242, 238, 258, 262];levels/training_450.txt
1000;8;2;0;30;0.008;0.002;0.0;[257, 221, 273, 249];levels/training_1_119.txt
1000;5;31;0;0;0.005;0.031;0.0;[243, 245, 263, 249];levels/training_376.txt
1000;3;7;0;0;0.003;0.007;0.0;[234, 247, 271, 248];levels/training_877.txt
1000;3;0;0;15;0.003;0.0;0.0;[243, 259, 258, 240];levels/training_883.txt
1000;2;42;0;0;0.002;0.042;0.0;[243, 240, 251, 266];levels/training_744.txt
1000;5;1;0;15;0.005;0.001;0.0;[253, 257, 245, 245];levels/training_466.txt
1000;2;3;0;0;0.002;0.003;0.0;[229, 281, 261, 229];levels/training_208.txt
1000;4;5;0;5;0.004;0.005;0.0;[260, 238, 242, 260];levels/training_340.txt
1000;0;22;0;0;0.0;0.022;0.0;[239, 254, 264, 243];levels/training_667.txt
1000;6;0;0;30;0.006;0.0;0.0;[260, 275, 214, 251];levels/training_31.txt
1000;1;21;0;0;0.001;0.021;0.0;[239, 257, 257, 247];levels/training_1_135.txt
1000;2;2;0;5;0.002;0.002;0.0;[243, 274, 228, 255];levels/training_387.txt
1000;4;21;0;0;0.004;0.021;0.0;[279, 221, 262, 238];levels/training_101.txt
1000;1;36;0;0;0.001;0.036;0.0;[254, 237, 257, 252];levels/training_888.txt
1000;5;8;0;0;0.005;0.008;0.0;[254, 261, 237, 248];levels/training_629.txt
1000;6;29;0;0;0.006;0.029;0.0;[236, 248, 268, 248];levels/training_44.txt
1000;4;17;0;0;0.004;0.017;0.0;[268, 258, 251, 223];levels/training_1_193.txt
1000;2;4;0;0;0.002;0.004;0.0;[268, 254, 232, 246];levels/training_575.txt
1000;0;13;0;0;0.0;0.013;0.0;[228, 276, 251, 245];levels/training_821.txt
1000;4;0;0;20;0.004;0.0;0.0;[270, 255, 230, 245];levels/training_382.txt
1000;2;7;0;0;0.002;0.007;0.0;[262, 257, 251, 230];levels/training_460.txt
1000;0;21;0;0;0.0;0.021;0.0;[264, 257, 234, 245];levels/training_970.txt
1000;4;2;0;0;0.004;0.002;0.0;[258, 238, 269, 235];levels/training_659.txt
1000;4;2;0;0;0.004;0.002;0.0;[260, 248, 245, 247];levels/training_103.txt
